"";"cluster";"present_in_n_genomes";"cluster_type_manual";"Afumigatus";"Aoryzae";"Aniger"
"12";17;1;"singleton";"";"";"1076799;1119475;1085878;1163704;1085173;1119474;1103844;1103843;1076121;1209187;1133751;1183414;1173004;1119473;1085142;1076117;1103842;1209188;1209189;1150962;42205"
"13";20;1;"singleton";"";"";"1140594;1227774;1073004;1188998;1113911;1113910;1129557;1227773;1069240;1160974;1180057;1129556;1155417;176722;1098046;1098578;1227772;1169002"
"14";23;1;"singleton";"";"";"1204043;1082211;1059883;1170931;1204044;1082124;1063644;1082141;1204045;1149663;1204046;128601;1065486;1131730"
"15";24;2;"accessory";"";"AO090113000209";"1188301;1139835;1168353;1225831;1178342;1187647;1128621;1097489;1225832;1225829;1155030;1160634;1111600;1223374;1127247;1064316;1154359;1160172;1096539;1112972;1128620;1097622;1069229;1225830;1072400;1112974;1097659;1128622;1225833;1073645;1112973;1179265"
"16";25;3;"core";"AFUA_5G02570";"AO090102000372";"1215646;1107084;1073663;1088862;1088503;1215644;1077977;1122722;1158694;1152431;1122721;1107085;1088541;1071170;207211;1215642;1185423;1175504;1165621;1122723;1107086;1145233;1136163"
"17";26;1;"singleton";"";"";"1136022;1165510;1175357;1185304;1106838;1215243;1060548;1122475;1090091;1152330;1158611;1215241;1089995;1215247;1122474;1106839;118624;1061144;1215249;1152331;1215245"
"18";27;1;"singleton";"";"";"1178834;1168063;1224718;1139409;1096425;1112334;1127982;1224709;1063631;118644;1224717;1154702;1160409;1224715;1224712;1187995"
"19";28;1;"singleton";"";"";"1187638;1167721;1063056;1223342;1138909;1095444;1111577;1127225;1223343;1127224;1095337;118659;1068017;1111578;1154347;1178324"
"20";29;1;"singleton";"";"";"1127246;1111599;1223370;1064317;1223372;1138929;1167731;1061705;179585;1223368;1127245;1111598;1065267;1096926;52853;1096340"
"21";31;1;"singleton";"";"";"1164365;1151527;1184113;1173908;1074219;1087449;1134632"
"22";33;1;"singleton";"";"";"1156246;1149250;1181391;1170273;1202272;1161794;1131108;41618;1115784;1081148;1100179;1078656;1202274;1202276;1080613;1061403;1141813;1202270"
"23";34;1;"singleton";"";"";"1229178;1161213;1155723"
"24";35;3;"core";"AFUA_6G06540";"AO090003000026;AO090003000027";"1140284;1227036;1075439;1155296;1097081;1227034;1071747;43035;1097457;1129234;1188707;1073583;1129235;1097242;1113587;1227032;1179733;1113588;1129236;1160862;1113589;1188706;1179732;1097635;1160861;1227026;1068949;1113584;1155295;1129231;1227030;1113585;1071468;1097369;1129232;1129233;1113586;1097609;1071311;187283;1039739;1148001;1148000;1168738"
"25";36;3;"core";"AFUA_5G07180;AFUA_6G11910;AFUA_5G07190";"AO090701000253;AO090010000034;AO090701000244";"1166029;1185849;1176060;1217080;1090484;1123632;1152838;1066101;1123633;1090923;1107992;1107993;1059245;1158996;1152839;1091031;1060524;213953;1217082;1217078;1107991;1123631;1138002;1167026;1093630;1058964;1110216;1159740;1093365;1060242;1125855;1153804;1186902;1110217;1177399;1125856;1217073;1158995;1152837;1064412;1110218;1125857;1092936;44520;1090473;1090782;129891;1061804;1066767;1123630;1123629;1107990;1107989;1059760;45093;1090514;1123634;1158997;1107994;1145582;1136701"
"26";37;3;"core";"AFUA_5G12660;AFUA_5G12650";"AO090120000393;AO090120000392";"1162070;1131452;1081777;1203257;1116344;1170632;1181684;1100740;1068016;1203258;1080749;1100739;41966;1116343;1067353;1149486;1156438;1203255;1116342;1203253;1081390;1100738;1063633;1203266;1116347;1116348;1156439;1181685;1170633;1081400;1149487;1081276;1060868;1073430;1100744;1100743;1081163;1116346;1075720;1203268;49455;1100742;1203262;1080803;1116345;1078395;1100741;1142057;1142056;1203260"
"27";38;3;"core";"AFUA_2G13520";"AO090026000261";"1089199;1122142;1106505;1214780;1066701;1088315;1214776;1088839;52243;1106506;1065479;1122143;1122141;1135820;1185124;1175152;1165332;1214782;1106504;1152206;1158495;1214778;1063053"
"28";40;1;"singleton";"";"";"1098126;1140914;1155551;1180393;1073636"
"29";39;3;"core";"AFUA_4G11560";"AO090003001064";"1059869;1094297;1062367;1126689;1094704;1094767;1068015;1187342;1222397;1111042;1111043;1111044;214413;1126688;1126687;1154138;1177937;1160007;1222395;1167447;1138537;1146863;1146864"
"30";48;3;"core";"AFUA_8G04740;AFUA_8G04730";"AO090005000696";"1092327;1109362;1124994;1159451;1153440;1066700;1219407;1109364;1124996;1063627;1092455;1186519;1176909;1092575;1124995;1137533;1109363;1166662;1219409;1066683;1125001;1092544;1186522;1125000;1028680;1176912;1109369;1109368;1064015;1068198;1092467;1146161;193777"
"31";49;1;"singleton";"";"";"1130554;1080226;1200731;1063046;1200732;1065480;1169693;1080411;1079719;1068018;1200730"
"32";46;3;"core";"AFUA_2G16420";"AO090102000221";"1164300;1184046;1173811;1086657;1211227;1069221;1104844;1120476;1157890;1104845;1120477;1134537;1086713;1211230;1211225;1076784;1151438;1120478;1104846;1086873;40811;1071772;1211224;1144001"
"33";44;3;"core";"AFUA_3G07860";"AO090005001483";"1089241;1185485;1136248;1215861;1165679;1175591;1107225;1122861;1076103;1122862;52406;1088095;1107226;1215865;1072998;1152492;1215863;1158739;1107224;1073246;1122863;1088520;1070855;1107227;1145286"
"34";50;3;"core";"AFUA_2G07960;AFUA_2G07970";"AO090011000902;AO090011000901";"1133440;1163520;1172692;1150785;1119138;1119137;1183222;1157414;1085190;1085282;1103524;1069877;1071770;1208506;1103523;1208503;1119139;1103525;1085552;211691;56731;1069222;1011618;1143334;1143346;1011623;1103526;1119140;1085399;1069834;1011629;1208511;1208509"
"35";47;2;"accessory";"";"AO090009000071";"1150583;1172428;1071771;1085082;1133179;1084787;1071171;1084459;1075448;189378"
"36";52;1;"singleton";"";"";"1182079;1132003;1162425;1204764;1117061;1082894;1064879;1101449;1149861;1156702;1101448;1083894;171221;1062365;1117062;1083629;1061696;170788;1171218"
"37";51;1;"singleton";"";"";"1139191;1154543;1066690;138585;1178612"
"38";53;3;"core";"AFUA_4G14070";"AO090010000193";"1151097;1072398;1209662;1157626;1086046;1119757;1119758;1104131;214825;1209668;1085933;1073637;1133977;1163870;1209665;1173233;1183585;1209659;1104130"
"39";54;1;"singleton";"";"";"1210362;1134206;1173466;1087153;1151247;1120113;1210360;1104481;1157742;1076104;1183781;1120112;1071172;1086412;1104480;181803;1210356;1210352;1120111;1086959;1071765;1104482;1143793;1014507;1183782;1173467;210117;1143795;1143794;1164055"
"40";55;1;"singleton";"";"";"1139212;1096469;1068642;1095487;1154560;1068643;1095932;179079;1059250;1178633"
"41";56;3;"core";"AFUA_5G08700;AFUA_5G08690";"AO090020000430;AO090020000429";"1174259;1120956;1164621;1212304;1120958;1120957;1105320;1105319;1105318;1158076;1134963;1087193;1074217;1077940;1078647;1151701;1087744;1087765;1212301;1017465;1134964;142990;1144276;1184381"
"42";57;3;"core";"AFUA_6G11010";"AO090023000519";"1189258;1098252;1114197;1073638;1228466;1129849;38101;1228472;1071766;1098916;1169249;1140891;1228469;1155535;1161086;1228463;1114198;1129850;1129851;1228475;1078648;1114199;1097712;1148510;1180366"
"43";58;3;"core";"AFUA_5G13380";"AO090120000483";"1161972;1181579;1170503;1116138;1202905;1063931;1100533;1081689;1067039;1100535;1080763;41846;1081563;1116139;1116140;1067669;1100534;1202906;1149402;1081066;1202908;1149403;1072898;1071448;1100537;1100536;1202912;1116142;1116141;1081009;1156370;1080891;1202915;130233;1070722;1116143;1100538;1131329"
"44";59;1;"singleton";"";"";"1137637;1186610;1219738;1219741;1159512;1153514;1219744;1125190;1125189;1219742;1093490;1068011;1092768;1066689;1109554;1109555;1109553;194381;1059858;1125188;1092650;1219739;1109552;214735;1058959;1177015"
"45";61;1;"singleton";"";"";"1127196;1111550;1095025;1061140;1178296;1167706;1138881;1187622;1223289;1066696;1111549;1223280;1095044;1127195;1154329;1223283;1160155;1095048;1127197;1223292;1062369;118662;1111551;1223286"
"46";62;1;"singleton";"";"";"1210695;1134332;1183890;1173596;1104633;1210697;1120265;1086639;1074838;1210686;1157800;1151313;1120264;1104632;1073639;1210692;1086272;1210689;1086832;1104631;210217;1077949;1120263;1143883;1164161"
"47";63;3;"core";"AFUA_3G06790";"AO090020000318";"1168195;1096516;1071810;1179070;1154895;1096435;1077500;1074883;179412;1225268;1225265;1096489;1128294;1074105;1160523;1154894;1112648;1179069;1188135;1128292;1112646;1096907;1075969;1225266;1095303;1225267;1075518;48109;1128293;1112647;1147497;1036869;1139643"
"48";65;1;"singleton";"";"";"1169705;1079960;1080446;1068644;1130565;1080365;1148898;1068010;56946;1064898"
"49";64;3;"core";"AFUA_6G08240";"AO090003000101";"1223712;1178468;1139048;1187740;1167819;1060540;1096190;1223716;1160235;1111804;38822;1154444;1127449;1223704;1223708;1147202"
"50";67;3;"core";"AFUA_2G08440";"AO090011000858";"1150810;1208673;1208672;1085855;1075449;1119218;1103601;1119216;1103599;1208667;1071767;1085408;1172730;1183255;1133476;1163550;1208669;1069878;1208671;42477;1085792;1103600;1119217;1143376;1157436"
"51";68;3;"core";"AFUA_5G02140";"AO090102000272";"1165658;1122813;1068312;1107176;1215778;37344;1089904;1215779;1152464;1158724;1063968;1185463;1107177;1175548;1122814;1122815;1107178;1088251;1215781;1089253;1215777;1062414;1152466;1089647;37346;1078107;1172238;1132984;1207403;1150434;35364;1152465;1089065;1122817;1122818;1122816;1185464;1070324;1088454;1090056;1175549;1107180;1107179;1215783;1061550;1082585;1082842;1082945;1207402;1075199;140014;1107181;1074911;1073671;1069247;1136205"
"52";66;2;"accessory";"AFUA_2G01290";"";"1220783;1153793;1159732;1177383;1137988;1167015;1186890;1220780;1220777;1220786;1220774"
"53";69;2;"accessory";"AFUA_1G17740";"";"1188423;1226212;1128778;1097408;1179426;1074839;1168470;1139987;1160713;1155134;1128779;1097294;1113133;211885;1073620;1226229;1113134;1077445;1128780;1097104;1226198;1113131;1076431;1038319;1147742;1113132"
"54";72;3;"core";"AFUA_5G12670;AFUA_5G12680";"AO090120000394";"56629;1063047;1203235;1059251;1203243;1100736;1080674;1116340;1203239;1149485;1156437;1063190;1081023;1203247;1203251;1131451;1162069;1116341;1100737;1181683;1170631;1100734;1203227;1116338;1100735;1116339;1067788;1081730;1170630;1203231;1181682;1131450;1162068;1142053;1142052;1080741"
"55";71;2;"accessory";"";"AO090010000114";"1150619;1172477;1133228;1084816;1085016;1071173;1074836;190014"
"56";73;2;"accessory";"";"AO090038000086;AO090001000506";"118617;1088894;1077946;1151943"
"57";74;1;"singleton";"";"";"1067354;1079749;1169711;188817;1080199;1061728;1148903;1080272;1061718;1130571"
"58";75;2;"accessory";"AFUA_3G01410";"AO090009000052";""
"59";77;3;"core";"AFUA_2G05470;AFUA_2G05450";"AO090001000658;AO090001000657";"1139626;1128257;1095660;1112611;1075769;1128258;1128259;1225215;1096218;1188119;1112612;1077711;1179052;1160513;1071542;178195;1112613;1096308;1154884;1112608;1225212;1128254;1096059;1069365;1160512;1154883;1075394;1225214;1096635;208985;1096412;1112610;1112609;1128255;1128256;1188118;1179051;1078490;1168180"
"60";79;1;"singleton";"";"";"1171584;1066099;1101905;215002;1182399;1156866;1150040;1205764;1117514;1162722;1205766;1132358;1205768;1205770;1067538;1205772;1117515;1101906;1082531;1083348"
"61";84;1;"singleton";"";"";"1092751;1110285;1159766;1125924;1067348;1153865;1220980;191702;1093199;1110286;1125925;1220986;1064878;1093421;1125926;1220989;1110287;1068645;1138079;1167063;1220983;1177474;1186937;1177473;1220978"
"62";83;3;"core";"AFUA_2G10730;AFUA_2G10740";"AO090011000559;AO090011000561;AO090011000562";"1135582;1121758;1158376;1106122;1077924;206569;1152066;1089543;1088694;1174904;1184913;1106123;1214057;1121759;1069072;1106121;1121757;1214059;1088392;1070958;1088441;1214063;1121760;1074394;1106124;1106120;1121755;1078186;1090134;1214051;1158375;1106119;1184912;1214053;1121756;1152065;1214050;1089802;1106118;1121754;1069988;173949;1174903;1071579;1088500;1184914;1069691;1088436;1106125;1174905;1121761;1144751;1144750;1165131"
"63";81;3;"core";"AFUA_5G09220";"AO090020000518";"209711;1212127;1073626;1087716;1151667;1120897;1158051;1174199;1164573;1120899;1212131;1184332;1072395;1087505;1134904;1105261;1105259;1120898;1074824;1212135;1105260;1087678;1144231;1144232"
"64";86;3;"core";"AFUA_1G11450;AFUA_1G11460";"AO090038000280;AO090038000279";"1188980;1227736;1140572;1168986;1076786;1097895;1227734;1129547;1113901;1129546;1098264;1227732;1113900;1075444;1113899;1072359;1098939;1227730;52740;1129545;1041178;1160970;1155410;208214;1140573;1148254;1168987;1180035"
"65";87;3;"core";"AFUA_6G11310;AFUA_2G10070";"AO090023000483;AO090011000630";"1180336;1074212;55738;1077422;1098238;1099103;1228370;1161069;1169222;1129814;1140859;1114162;1228367;1155520;1114163;1129815;1148480;38132;1148481;1189230"
"66";88;1;"singleton";"";"";"1224528;1059865;1178766;1139342;1154654;1224530;47991;1096310;1066685;1224526;1096212"
"67";90;1;"singleton";"";"";"1104687;1173679;1086727;1086765;1183936;1120319;1120318;1072991;1210858;1069216;1164202;1134408;1210860;1157827;1087100;1151362;1210862;1210865;118744;1072382;1120320;1104688;1104686"
"68";78;3;"core";"AFUA_6G07440";"AO090005001555";"1073616;1158200;1135262;1213070;1121260;1121261;1087401;1174566;1164874;1105623;1105624;1184649;1087536;1151838;1213072;1077944;1213067;1087922;1105622;1071174;1121259;1144522"
"69";91;3;"core";"AFUA_7G05790;AFUA_7G05800";"AO090005000443;AO090005000444";"1157995;1120744;1087302;1151607;1071764;1164468;1184221;1211800;1087810;1105108;1071118;1120746;1134784;1211794;1174072;1105107;1087290;1211797;1120745;1077627;1105109;1105110;1087842;1073013;1087812;1078288;1120748;1120747;1164469;1174074;1211804;1184223;1134785;1164467;1184220;1151606;1120743;1016463;1120742;1105105;1105104;1144115;1134783;1174071;1157994;1087191;1087923;1069607;1075856;1144117;1144116;1105106"
"70";92;1;"singleton";"";"";"1126623;1222278;1068647;1094423;44005;1154109;1222280;1159983;1061714;1110978;1093857;1126622;1187307;1177894;1222274;1167413;1138493;1094396;1110977;1222276;1126621;1066681;1110979"
"71";93;2;"accessory";"";"AO090038000542";"1163411;1133323;1118882;1208057;1072660;1103266;43655;1084301;1150698;1208059;1157332;1208051;1103265;1069336;1172572;1118881;1208055;1085057;1183108;1183107;1150697;1084341;1103262;43656;1103263;1103264;1084486;1084800;1118879;1118878;1118880;1208046;1075612;1075670;1157331;1172571;1069445;1143227;1208048"
"72";94;2;"accessory";"AFUA_3G02530";"";"1080006;188697;1149054;1079885;1062364;1169970;1130819;1080235;1062421;1080461;1065863;1080385;1080344;1066081;1066148;1066100"
"73";95;1;"singleton";"";"";"1128335;1112688;1095463;1154907;1225315;1160535;118629;1074216;1168212;1139663;1225324;1188154;1179089;1225318;1112689;1225326;1076479;1225316;1147510;1225321"
"74";98;1;"singleton";"";"";"1136117;1152400;1077435;1175458;1089605;1089908;1078646;37260"
"75";97;3;"core";"AFUA_4G04760";"AO090206000006";"1099857;1149125;1064882;1201758;1115463;1201755;210817;1066693;1156141;1080792;1081735;1099858;1201761;1161660;1170108;1181249;1130950;1201764;1141677;1115462"
"76";102;1;"singleton";"";"";"1148863;1080183;1068648;1169662;1169661;1130525"
"77";105;3;"core";"AFUA_3G04300;AFUA_3G04240";"AO090124000090";"1181953;1131812;1204231;1204233;1149715;1156608;1083816;1204232;1116827;1059261;1101219;36569;1116829;1083797;1101220;1116828;1204235;1082390;1067474;1059897;1101221;1162314;1156609;36567;1204239;1149716;1082692;1059933;1101225;1116833;1131814;1005269;1171015"
"78";106;3;"core";"AFUA_2G09120;AFUA_2G09100";"AO090011000785;AO090011000786;AO090011000789";"1183315;1208894;1076787;1085149;1208889;1133564;186313;1085705;1076095;1150865;1208896;1085184;1208892;1074822;1208885;1133563;186218;1163610;1085653;1062749;1103728;1119345;1085526;1077425;1208887;1073029;1172819"
"79";107;3;"core";"AFUA_2G11270;AFUA_3G00910;AFUA_1G15440";"AO090010000106;AO090026000523;AO090003001500";"1099430;1115033;1063051;1200984;1079976;1200986;1063050;1080269;1148964;1067344;1169801;1099431;1180991;1115034;54378;1115035;1099432;1080419;1156000;1165178;1158407;1089294;1106222;1135637;1121857;1089471;1106223;1062361;1106221;1067345;1214257;1121858;1152103;1184962;1088042;1121859;1067343;1174962;1130657;1161420;1200985;1207760;1163332;1133197;1172448;1150596;1072993;1103070;1207768;212915;1084278;1118685;1183028;1157263;1074825;1118686;1207772;1103071;1084681;1062354;1095107;55204;1127184;1127185;1094994;1065472;1127186;1154318;1187618;1160151;1061711;1094991;1223264;1111538;1111540;1178286;1111539;1184101;1134607;1104977;1173883;1120612;1164354;1077943;1086307;1211437;1104975;1157936;1084276;1086246;1151502;1120610;1211439;1207764;1072988;1072992;1118684;1103069;1223261;1167702;1138871;1120611;40878;1104976;1072387;1087071;1211438;36809;1143180;1141454"
"80";41;3;"core";"AFUA_2G03030";"AO090026000655";"1158147;1151782;1121127;1087992;1212796;1071175;1105489;1121128;1087593;1184549;1121129;180989;1087901;1078649;1164778;1073610;1212800;1105490;1105491;1174454;1135148;1144421"
"81";100;3;"core";"AFUA_2G10270";"AO090011000608";"1108997;1159331;1124641;1124640;1124639;1108998;1176676;1074826;1091297;1077941;1166480;53581;1153287;118654;1091109;1137305;1108999;1186329;1218810;1091264;1076100;1145995;1145996"
"82";112;1;"singleton";"";"";"1121637;1089080;1165078;1106000;1184855;1213852;1135525;1213847;1070520;1158339;1152025;1213849;1105999;1121636;1213850;1089803;206486;1077938;1144700;1174840"
"83";113;3;"core";"AFUA_3G12550";"AO090005000714";"1061710;1106873;1122508;1089347;1158625;1152344;1215315;37188;1089096;1066682;1215309;1106872;1185322;1175376;1088584;1106874;1065467;1122509;1136041;1215318;1165528;1122507;1215312"
"84";114;3;"core";"AFUA_3G10240";"AO090003000559;AO090003000560";"1218680;1159305;1108913;1076785;1153260;1092070;1218676;1074211;1091411;1108912;1108911;1137257;1091491;48994;1166434;1186279;1176625;1124554;1077430;1124553;1124555"
"85";115;1;"singleton";"";"";"1118663;1157256;1118664;1207734;1150580;1084926;1133175;1183018;1163321;1073613;1172424;1084704;1103048;1103049;1118662;1103047;1084688;1077436;1075443;1061129;1095404;1154587;1224194;1063044;1096847;1224197;1224199;1139250;1224191;1095313;1060536;39026;190078;1178671"
"86";116;2;"accessory";"AFUA_3G15270";"";"1094828;1138632;1178037;1059240;118635;1154200"
"87";117;1;"singleton";"";"";"1133619;1074204;1085539;1150895;137491;1172873"
"88";119;3;"core";"AFUA_1G06330";"AO090001000414";"1226771;1113415;1129062;1073602;1155234;1160804;1226770;1168630;1226768;1129061;1140169;1097296;1113414;1074828;1188596;1129063;1179616;1097514;1113416;1077417;54199;1147893;1097345"
"89";109;3;"core";"AFUA_2G15200;AFUA_2G15220;AFUA_2G15230";"AO090012000304;AO090001000079;AO090012000307";"1148979;1161442;1130685;1156012;1000710;1161440;1080426;1169830;1061293;1130683;1080562;1068188;1181012;1099468;1115070;1099467;1115071;1068889;1099466;1080131;1115069;1099471;1060253;1181014;1115077;1201068;1169832;1080259;1080580;1080504;1181015;1115079;1115080;1115078;1099473;1099474;1099472;1060281;1060285;1079913;1062776;1000724;1169833;50153;1141469;1141473;212597"
"90";118;1;"singleton";"";"";"1068649;1082005;1204008;1082233;1116718;1063038;1101109;1170901;1181889;1081962;1204006;1116717;1149648;1156566;1101110;1068637;128638;1131703"
"91";120;3;"core";"AFUA_2G08670";"AO090011000838";"1163570;1133501;1208746;1183276;1072379;1208743;1085906;1074827;1172757;56715;1103647;1103648;1085664;1119265;1119264;1150826;1157450;1208745"
"92";121;1;"singleton";"";"";"1083722;1064313;215015;1150042;1132360;1171586"
"93";123;1;"singleton";"";"";"1109602;1166775;1219857;1177060;1125240;1186636;1137681;1092964;1125241;1092862;1219859;1065623;128584;1109604;1125242;1109605;1125239;1109603;1093067;1092894;1061641;1064717;1146266;1146267;1061121"
"94";124;1;"singleton";"";"";"1157104;1102590;1069217;1118199;1206982;1150334;1206980;1182801;1163108;1132832;1172078;1083772;1102589;1118198;1077421;1206978;1083712;1075056;1206976;205466;1102588;1118197;1143021;1143020;1084135"
"95";125;3;"core";"AFUA_7G04600;AFUA_7G04610";"AO090005000152;AO090005000151;AO090005000150";"1100989;1156521;1082130;128721;1203747;1064312;1203745;1149589;1131605;1100990;1064871;1116594;1203743;1170796;1100991;1081986;1181816;1082001;1066661;1162190;1116595;1181817;1162191;1004704;1131606;1170797;1142169;1004710;1142171;1142170;1116593"
"96";127;3;"core";"AFUA_3G09560";"AO090005001292";"1218438;1159267;1166368;1218436;1137180;1186210;1108782;1124426;1108783;1218440;1124425;1072985;1091185;1072377;1176550;1091556;1218442;1092024;53636;1108784;1074213;1124427;1153219"
"97";122;2;"accessory";"AFUA_2G12940";"AO090026000340";""
"98";129;1;"singleton";"";"";"1209170;1157523;1150955;1163699;1209168;1133735;1172988;1183409;118666;1085569;1209173;1103836;1119467;1074829;1209166;1143461;1209169"
"99";130;3;"core";"AFUA_6G04940;AFUA_6G04950";"AO090701000044;AO090701000043";"1119891;1209900;1070521;1087076;1157665;1209896;1151163;1072976;48594;1163925;1209901;1104265;1086259;1119894;1087046;1119895;1183643;1072078;1134057;1104266;1173312;1183642;1173311;1104264;1119893;1209898;1077229;1086229;1119892;1104263;1087119;53384;1073826;1209899;1134056;1163924;1209894;1104262"
"100";131;1;"singleton";"";"";"1179907;1140453;1227413;1168886;124094;1148156;1188868"
"101";132;3;"core";"AFUA_6G13200";"AO090003000445";"1097906;1072374;1130044;1228860;1097841;1130043;1098015;1228858;1228864;1180548;1141067;1114392;1071166;207747;1114393;1074821;1155667;1228862;1228857"
"102";135;3;"core";"AFUA_5G11870;AFUA_5G11840;AFUA_5G11850";"AO090120000302;AO090120000305;AO090120000304";"1113152;1160721;1097201;211899;1155142;1074215;1140002;1226294;1078282;1128799;1168483;1113153;1097289;1069975;1097263;1226292;1128797;1113151;1188438;1179442;1128803;1226301;1097301;1071358;1113156;1113157;1071976;1188440;1179444;1097657;1168485;1128802;1140004;1179443;1140003;1226298;1168484;1188439;1038372;1097080;1097390;1062637;1064454;1113155;1113154;1128800;1128801;1038366;1147751;1147753;1147752;1128798"
"103";136;3;"core";"AFUA_1G11230;AFUA_2G03710";"AO090120000216;AO090120000217;AO090103000311";"1164829;1121202;1087977;1072764;1121203;1151811;1158175;1077156;1087271;1105564;1212963;1105565;209439;1121201;1075547;1087545;1212958;1105563;1174513;1184600;1105567;1105566;1087439;1073181;1073196;1212966;1174514;209436;1087946;1121205;1121204;1184601;1158176;1151812;1073107;1087184;1121206;1105568;1144473;1144472;1135208"
"104";137;1;"singleton";"";"";"1132357;1101904;1150039;1182398;1156865;1117513;1083878;1066586;1171583;1101903;1083877;1117512;205909;1068537;1007575;1007582;1117510;1205762;1060243;1084062;1101901;1171582;1182397;1142672;1142671;35999;1162721"
"105";139;3;"core";"AFUA_4G08030;AFUA_4G08040";"AO090023000766;AO090023000768;AO090023000765";"1138348;1110748;1126392;1093783;1221874;1061392;1221870;1177741;1061169;1159910;1187181;1126391;1154022;1110747;1094230;1187182;1177742;1159911;1126393;1126394;1094529;1146743;1154023;1032160;1110749;1110750;1059130;1094600;121177;1065086;1146744;1110753;1110751;1110752;1032162;1126397;1126396;1126395;54582;1159912;1146745;1154024;1094346;1071659;1094724;1094773;1068400;1064009;1146746;1167296"
"106";142;1;"singleton";"";"";"1062347;1138055;1177449;1153848;1068627;44571;1093400;1067864;1093746;1058957;1093065"
"107";143;3;"core";"AFUA_5G08830";"AO090020000450";"1134952;1164610;1212270;1120946;1174249;1087187;1184372;1069909;1105308;1151697;1158072;1212269;1212267;1120944;1087437;209669;1075301;1105307;1120945;1087215;1076283;1105306;1174248;1184371;180126;1212264"
"108";141;3;"core";"AFUA_1G07380";"AO090012000988";"1213328;1076101;1105717;1105718;1164950;1174654;1087868;1184729;209263;1087248;1135341;1121355;1121354;1071758;1088008;1105716;1121353;1075436;1158236;1151876;1213330;1019326;1144597;1213332"
"109";146;1;"singleton";"";"";"1125386;1061122;1177138;1093455;1109749;1220026;1137761;1166835;1220029;1064304;1125385;1093236;1220032;1109748;1093662;1062348;194290;1159582;1125387;1153612;1109750;1064638;194247;1093677;1186696"
"110";147;3;"core";"AFUA_2G17600";"AO090102000545";"1170000;1115307;1064307;1181150;1099701;1079796;1156092;1201454;1130847;1161567;1201456;1099700;1201452;1061699;1079686;1115306;1080465;1115305;1099699;56896;1201450;1068638;1141586;1141585;1149070"
"111";145;3;"core";"AFUA_6G08520";"AO090001000512";"1127403;1160219;1065460;1063039;1111755;1095393;1096273;1154428;1111756;1127402;178015;1223622;1111754;1096896;1127401;1167799;1139028;1060527;1178446;1187719;1147174"
"112";148;3;"core";"AFUA_6G08420";"AO090001000497";"1223658;1160224;1139033;1167804;1096179;1068012;1095728;52880;1111768;1111769;1127415;1111770;1187726;1127416;1096885;1060537;1064303;1178453;1127417;1147183;1147184;1154433"
