"Aoryzae";"cluster"
"AO090103000167";"cluster_161"
"AO090124000084";"cluster_162"
"AO090023000554";"cluster_163"
"AO090023000681";"cluster_163"
"AO090023000677";"cluster_163"
"AO090038000297";"cluster_155"
"AO090010000108";"cluster_167"
"AO090020000064";"cluster_169"
"AO090005000276";"cluster_157"
"AO090701000132";"cluster_171"
"AO090012000773";"cluster_172"
"AO090012000772";"cluster_172"
"AO090701000056";"cluster_173"
"AO090701000058";"cluster_173"
"AO090010000045";"cluster_175"
"AO090701000809";"cluster_176"
"AO090701000799";"cluster_176"
"AO090701000810";"cluster_176"
"AO090012000420";"cluster_177"
"AO090003000958";"cluster_180"
"AO090012000841";"cluster_174"
"AO090003000437";"cluster_182"
"AO090005000884";"cluster_183"
"AO090038000624";"cluster_190"
"AO090038000626";"cluster_190"
"AO090038000625";"cluster_190"
"AO090003000304";"cluster_191"
"AO090003000305";"cluster_191"
"AO090003000552";"cluster_192"
"AO090003000551";"cluster_192"
"AO090102000259";"cluster_193"
"AO090102000260";"cluster_193"
"AO090001000720";"cluster_194"
"AO090001000719";"cluster_194"
"AO090001000721";"cluster_194"
"AO090102000100";"cluster_195"
"AO090102000101";"cluster_195"
"AO090005000435";"cluster_196"
"AO090701000490";"cluster_197"
"AO090701000504";"cluster_197"
"AO090701000482";"cluster_197"
"AO090102000248";"cluster_181"
"AO090026000840";"cluster_198"
"AO090003001114";"cluster_199"
"AO090701000149";"cluster_201"
"AO090003001091";"cluster_204"
"AO090102000581";"cluster_205"
"AO090102000582";"cluster_205"
"AO090005000067";"cluster_206"
"AO090010000484";"cluster_206"
"AO090124000009";"cluster_206"
"AO090026000289";"cluster_207"
"AO090026000309";"cluster_209"
"AO090026000314";"cluster_209"
"AO090010000171";"cluster_211"
"AO090010000626";"cluster_212"
"AO090005000715";"cluster_214"
"AO090103000420";"cluster_217"
"AO090103000443";"cluster_217"
"AO090103000440";"cluster_217"
"AO090005001480";"cluster_218"
"AO090005001478";"cluster_218"
"AO090005001477";"cluster_218"
"AO090103000415";"cluster_219"
"AO090003000364";"cluster_216"
"AO090003000365";"cluster_216"
"AO090003000363";"cluster_216"
"AO090009000174";"cluster_221"
"AO090009000349";"cluster_223"
"AO090003000924";"cluster_224"
"AO090003000923";"cluster_224"
"AO090038000449";"cluster_226"
"AO090011000378";"cluster_226"
"AO090012000328";"cluster_226"
"AO090102000604";"cluster_228"
"AO090124000083";"cluster_231"
"AO090023000642";"cluster_232"
"AO090023000641";"cluster_232"
"AO090026000323";"cluster_235"
"AO090005001226";"cluster_234"
"AO090001000648";"cluster_236"
"AO090005001214";"cluster_240"
"AO090020000034";"cluster_241"
"AO090701000650";"cluster_237"
"AO090010000491";"cluster_242"
"AO090012000580";"cluster_245"
"AO090012000197";"cluster_247"
"AO090010000769";"cluster_250"
"AO090001000320";"cluster_246"
"AO090701000478";"cluster_246"
"AO090009000321";"cluster_246"
"AO090026000327";"cluster_251"
"AO090026000326";"cluster_251"
"AO090001000562";"cluster_249"
"AO090003000462";"cluster_253"
"AO090020000144";"cluster_254"
"AO090020000145";"cluster_254"
"AO090010000107";"cluster_252"
"AO090012000486";"cluster_258"
"AO090005000851";"cluster_264"
"AO090005000850";"cluster_264"
"AO090009000554";"cluster_266"
"AO090102000493";"cluster_266"
"AO090009000552";"cluster_266"
"AO090701000122";"cluster_267"
"AO090120000210";"cluster_267"
"AO090020000515";"cluster_230"
"AO090120000460";"cluster_270"
"AO090023000496";"cluster_271"
"AO090023000669";"cluster_275"
"AO090026000321";"cluster_280"
"AO090026000324";"cluster_279"
"AO090026000325";"cluster_279"
"AO090701000192";"cluster_282"
"AO090701000719";"cluster_255"
"AO090701000720";"cluster_255"
"AO090120000221";"cluster_269"
"AO090003000491";"cluster_285"
"AO090005000791";"cluster_290"
"AO090003001000";"cluster_292"
"AO090003000408";"cluster_291"
"AO090003000413";"cluster_291"
"AO090003000824";"cluster_293"
"AO090026000245";"cluster_294"
"AO090023000444";"cluster_296"
"AO090102000552";"cluster_286"
"AO090023000401";"cluster_298"
"AO090023000161";"cluster_298"
"AO090003000821";"cluster_299"
"AO090103000347";"cluster_302"
"AO090011000793";"cluster_259"
"AO090011000795";"cluster_259"
"AO090038000616";"cluster_304"
"AO090011000728";"cluster_305"
"AO090003001096";"cluster_305"
"AO090023000649";"cluster_313"
"AO090023000648";"cluster_313"
"AO090005000725";"cluster_314"
"AO090009000631";"cluster_308"
"AO090003000177";"cluster_315"
"AO090005001179";"cluster_319"
"AO090012000864";"cluster_318"
"AO090038000451";"cluster_318"
"AO090005000589";"cluster_320"
"AO090023000802";"cluster_317"
"AO090011000719";"cluster_324"
"AO090005001186";"cluster_325"
"AO090003001200";"cluster_327"
"AO090009000230";"cluster_328"
"AO090005000763";"cluster_329"
"AO090020000319";"cluster_331"
"AO090103000045";"cluster_332"
"AO090009000244";"cluster_333"
"AO090023000173";"cluster_316"
"AO090009000423";"cluster_326"
"AO090003000279";"cluster_337"
"AO090009000382";"cluster_330"
"AO090009000383";"cluster_330"
"AO090009000488";"cluster_339"
"AO090009000487";"cluster_339"
"AO090038000387";"cluster_340"
"AO090038000386";"cluster_340"
"AO090005001261";"cluster_342"
"AO090005001259";"cluster_342"
"AO090701000677";"cluster_344"
"AO090023000134";"cluster_322"
"AO090026000806";"cluster_346"
"AO090012000268";"cluster_347"
"AO090012000270";"cluster_347"
"AO090023000521";"cluster_348"
"AO090023000517";"cluster_348"
"AO090011000913";"cluster_354"
"AO090011000915";"cluster_354"
"AO090005001302";"cluster_354"
"AO090011000914";"cluster_354"
"AO090026000829";"cluster_353"
"AO090026000830";"cluster_353"
"AO090001000336";"cluster_359"
"AO090011000155";"cluster_359"
"AO090026000218";"cluster_359"
"AO090003000662";"cluster_361"
"AO090011000840";"cluster_352"
"AO090023000781";"cluster_368"
"AO090023000055";"cluster_369"
"AO090001000554";"cluster_372"
"AO090020000668";"cluster_371"
"AO090020000670";"cluster_371"
"AO090020000572";"cluster_367"
"AO090701000211";"cluster_377"
"AO090012000502";"cluster_373"
"AO090011000439";"cluster_378"
"AO090011000438";"cluster_378"
"AO090120000299";"cluster_364"
"AO090113000103";"cluster_379"
"AO090020000119";"cluster_362"
"AO090003000011";"cluster_358"
"AO090120000251";"cluster_382"
"AO090026000395";"cluster_385"
"AO090026000392";"cluster_385"
"AO090038000529";"cluster_384"
"AO090038000528";"cluster_384"
"AO090012000886";"cluster_384"
"AO090020000235";"cluster_384"
"AO090009000677";"cluster_338"
"AO090009000676";"cluster_338"
"AO090012000961";"cluster_375"
"AO090003001128";"cluster_388"
"AO090003001127";"cluster_388"
"AO090038000557";"cluster_389"
"AO090038000556";"cluster_389"
"AO090009000707";"cluster_390"
"AO090023000809";"cluster_387"
"AO090701000191";"cluster_391"
"AO090026000488";"cluster_391"
"AO090103000075";"cluster_391"
"AO090701000190";"cluster_391"
"AO090012000494";"cluster_391"
"AO090701000123";"cluster_381"
"AO090120000300";"cluster_393"
"AO090102000355";"cluster_401"
"AO090102000354";"cluster_401"
"AO090026000470";"cluster_405"
"AO090026000471";"cluster_405"
"AO090005001213";"cluster_404"
"AO090005001212";"cluster_404"
"AO090102000004";"cluster_403"
"AO090011000351";"cluster_410"
"AO090011000352";"cluster_410"
"AO090020000507";"cluster_410"
"AO090005001543";"cluster_398"
"AO090012000173";"cluster_411"
"AO090701000115";"cluster_408"
"AO090005000576";"cluster_413"
"AO090005000575";"cluster_413"
"AO090701000710";"cluster_414"
"AO090023000240";"cluster_415"
"AO090011000912";"cluster_419"
"AO090005000987";"cluster_376"
"AO090120000297";"cluster_409"
"AO090012000271";"cluster_422"
"AO090010000218";"cluster_428"
"AO090010000217";"cluster_428"
"AO090038000561";"cluster_416"
"AO090003000296";"cluster_420"
"AO090120000088";"cluster_431"
"AO090009000478";"cluster_432"
"AO090026000191";"cluster_406"
"AO090038000400";"cluster_430"
"AO090001000007";"cluster_436"
"AO090001000008";"cluster_436"
"AO090001000006";"cluster_436"
"AO090010000219";"cluster_435"
"AO090701000872";"cluster_435"
"AO090038000303";"cluster_435"
"AO090003000913";"cluster_443"
"AO090005000845";"cluster_444"
"AO090005000844";"cluster_444"
"AO090005000846";"cluster_444"
"AO090003000806";"cluster_447"
"AO090003000807";"cluster_447"
"AO090102000147";"cluster_448"
"AO090102000146";"cluster_448"
"AO090003000126";"cluster_425"
"AO090026000592";"cluster_429"
"AO090023000819";"cluster_450"
"AO090020000050";"cluster_451"
"AO090020000051";"cluster_451"
"AO090011000515";"cluster_452"
"AO090012000566";"cluster_453"
"AO090012000567";"cluster_453"
"AO090102000136";"cluster_454"
"AO090020000290";"cluster_455"
"AO090005001500";"cluster_458"
"AO090011000359";"cluster_459"
"AO090011000358";"cluster_459"
"AO090020000039";"cluster_445"
"AO090012000248";"cluster_465"
"AO090012000247";"cluster_465"
"AO090011000493";"cluster_468"
"AO090003000283";"cluster_469"
"AO090701000055";"cluster_460"
"AO090038000389";"cluster_470"
"AO090038000388";"cluster_470"
"AO090005001388";"cluster_471"
"AO090011000903";"cluster_477"
"AO090012000615";"cluster_476"
"AO090001000625";"cluster_480"
"AO090001000626";"cluster_480"
"AO090003000864";"cluster_479"
"AO090001000223";"cluster_478"
"AO090001000313";"cluster_486"
"AO090038000590";"cluster_490"
"AO090038000589";"cluster_490"
"AO090003000433";"cluster_489"
"AO090020000014";"cluster_492"
"AO090020000013";"cluster_492"
"AO090010000756";"cluster_493"
"AO090120000128";"cluster_497"
"AO090011000202";"cluster_499"
"AO090012000484";"cluster_345"
"AO090026000590";"cluster_502"
"AO090003000706";"cluster_491"
"AO090003000704";"cluster_491"
"AO090103000444";"cluster_505"
"AO090103000453";"cluster_505"
"AO090038000511";"cluster_503"
"AO090009000055";"cluster_503"
"AO090124000061";"cluster_503"
"AO090012000413";"cluster_503"
"AO090009000006";"cluster_503"
"AO090003001097";"cluster_509"
"AO090206000058";"cluster_510"
"AO090001000296";"cluster_514"
"AO090001000297";"cluster_514"
"AO090701000798";"cluster_513"
"AO090038000322";"cluster_522"
"AO090023000644";"cluster_525"
"AO090023000631";"cluster_525"
"AO090001000672";"cluster_530"
"AO090009000396";"cluster_531"
"AO090009000395";"cluster_531"
"AO090023000993";"cluster_536"
"AO090023000995";"cluster_536"
"AO090023000510";"cluster_533"
"AO090023000509";"cluster_533"
"AO090023000484";"cluster_538"
"AO090124000053";"cluster_520"
"AO090124000052";"cluster_520"
"AO090124000054";"cluster_520"
"AO090001000714";"cluster_542"
"AO090001000715";"cluster_542"
"AO090020000146";"cluster_518"
"AO090009000623";"cluster_546"
"AO090011000498";"cluster_508"
"AO090001000519";"cluster_547"
"AO090020000058";"cluster_544"
"AO090011000822";"cluster_545"
"AO090009000290";"cluster_516"
"AO090003000920";"cluster_551"
"AO090003000921";"cluster_551"
"AO090102000520";"cluster_554"
"AO090012000508";"cluster_555"
"AO090012000699";"cluster_543"
"AO090010000332";"cluster_543"
"AO090102000515";"cluster_548"
"AO090701000029";"cluster_559"
"AO090701000027";"cluster_559"
"AO090020000223";"cluster_560"
"AO090001000222";"cluster_562"
"AO090001000193";"cluster_563"
"AO090103000017";"cluster_564"
"AO090120000157";"cluster_566"
"AO090003001099";"cluster_565"
"AO090120000314";"cluster_550"
"AO090120000068";"cluster_579"
"AO090005000998";"cluster_583"
"AO090005000997";"cluster_583"
"AO090005000999";"cluster_583"
"AO090009000401";"cluster_581"
"AO090102000239";"cluster_586"
"AO090206000064";"cluster_589"
"AO090011000854";"cluster_561"
"AO090026000185";"cluster_592"
"AO090026000190";"cluster_592"
"AO090120000464";"cluster_593"
"AO090003001385";"cluster_597"
"AO090012000034";"cluster_598"
"AO090012000141";"cluster_598"
"AO090003000483";"cluster_573"
"AO090003000484";"cluster_573"
"AO090003000482";"cluster_573"
"AO090012000849";"cluster_599"
"AO090010000455";"cluster_603"
"AO090005001452";"cluster_281"
"AO090005001451";"cluster_281"
"AO090012000987";"cluster_604"
"AO090012000986";"cluster_604"
"AO090038000283";"cluster_602"
"AO090138000151";"cluster_609"
"AO090138000150";"cluster_609"
"AO090701000080";"cluster_613"
"AO090003000675";"cluster_614"
"AO090012000719";"cluster_534"
"AO090038000313";"cluster_539"
"AO090038000312";"cluster_539"
"AO090012000836";"cluster_616"
"AO090012000835";"cluster_616"
"AO090103000226";"cluster_576"
"AO090012000184";"cluster_619"
"AO090003000995";"cluster_512"
"AO090003000997";"cluster_512"
"AO090003001100";"cluster_622"
"AO090005000465";"cluster_568"
"AO090102000389";"cluster_620"
"AO090003000718";"cluster_628"
"AO090011000813";"cluster_631"
"AO090026000660";"cluster_630"
"AO090038000614";"cluster_626"
"AO090001000663";"cluster_633"
"AO090102000549";"cluster_636"
"AO090005001109";"cluster_634"
"AO090009000296";"cluster_635"
"AO090009000651";"cluster_637"
"AO090011000114";"cluster_637"
"AO090020000679";"cluster_637"
"AO090003000193";"cluster_638"
"AO090003000195";"cluster_638"
"AO090003000194";"cluster_638"
"AO090010000496";"cluster_624"
"AO090120000228";"cluster_624"
"AO090023000861";"cluster_641"
"AO090672000002";"cluster_643"
"AO090003000512";"cluster_645"
"AO090009000672";"cluster_648"
"AO090003000237";"cluster_653"
"AO090026000244";"cluster_287"
"AO090023000911";"cluster_617"
"AO090102000349";"cluster_473"
"AO090102000348";"cluster_473"
"AO090003001031";"cluster_658"
"AO090003001028";"cluster_658"
"AO090023000664";"cluster_647"
"AO090003000614";"cluster_666"
"AO090005000799";"cluster_666"
"AO090011000592";"cluster_496"
"AO090009000565";"cluster_667"
"AO090120000480";"cluster_669"
"AO090120000481";"cluster_669"
"AO090003000659";"cluster_668"
"AO090005000667";"cluster_670"
"AO090005000668";"cluster_670"
"AO090102000374";"cluster_673"
"AO090023000154";"cluster_673"
"AO090003000085";"cluster_675"
"AO090005001395";"cluster_680"
"AO090020000406";"cluster_680"
"AO090003000626";"cluster_682"
"AO090206000126";"cluster_682"
"AO090020000529";"cluster_682"
"AO090206000118";"cluster_682"
"AO090009000597";"cluster_684"
"AO090009000596";"cluster_684"
"AO090023000577";"cluster_683"
"AO090010000689";"cluster_688"
"AO090102000337";"cluster_688"
"AO090009000637";"cluster_665"
"AO090009000636";"cluster_665"
"AO090003000269";"cluster_691"
"AO090001000178";"cluster_608"
"AO090701000328";"cluster_676"
"AO090103000166";"cluster_676"
"AO090102000028";"cluster_585"
"AO090103000319";"cluster_693"
"AO090701000068";"cluster_672"
"AO090005000894";"cluster_698"
"AO090005000896";"cluster_698"
"AO090020000563";"cluster_689"
"AO090005001603";"cluster_700"
"AO090011000031";"cluster_700"
"AO090038000456";"cluster_699"
"AO090003000972";"cluster_702"
"AO090003000971";"cluster_702"
"AO090120000272";"cluster_692"
"AO090120000273";"cluster_692"
"AO090001000665";"cluster_704"
"AO090026000637";"cluster_705"
"AO090010000300";"cluster_386"
"AO090138000125";"cluster_386"
"AO090005001281";"cluster_708"
"AO090011000794";"cluster_712"
"AO090009000709";"cluster_642"
"AO090011000636";"cluster_711"
"AO090701000148";"cluster_720"
"AO090020000218";"cluster_724"
"AO090005000841";"cluster_725"
"AO090012000204";"cluster_727"
"AO090012000203";"cluster_727"
"AO090026000337";"cluster_718"
"AO090026000551";"cluster_733"
"AO090026000552";"cluster_733"
"AO090102000536";"cluster_722"
"AO090003000131";"cluster_694"
"AO090001000021";"cluster_694"
"AO090009000193";"cluster_736"
"AO090009000194";"cluster_736"
"AO090011000922";"cluster_739"
"AO090003000952";"cluster_731"
"AO090003000951";"cluster_731"
"AO090003000950";"cluster_731"
"AO090038000467";"cluster_743"
"AO090005000690";"cluster_742"
"AO090038000100";"cluster_744"
"AO090010000472";"cluster_745"
"AO090003001349";"cluster_746"
"AO090005001621";"cluster_741"
"AO090011000880";"cluster_748"
"AO090011000881";"cluster_748"
"AO090009000681";"cluster_750"
"AO090011000839";"cluster_752"
"AO090005000647";"cluster_632"
"AO090026000462";"cluster_735"
"AO090005001598";"cluster_765"
"AO090009000185";"cluster_763"
"AO090005000142";"cluster_770"
"AO090011000458";"cluster_734"
"AO090026000224";"cluster_772"
"AO090701000270";"cluster_769"
"AO090012000848";"cluster_760"
"AO090003001108";"cluster_775"
"AO090120000364";"cluster_778"
"AO090038000568";"cluster_779"
"AO090012000947";"cluster_780"
"AO090020000021";"cluster_783"
"AO090038000137";"cluster_784"
"AO090010000292";"cluster_784"
"AO090010000290";"cluster_784"
"AO090005000406";"cluster_785"
"AO090005001393";"cluster_786"
"AO090005001392";"cluster_786"
"AO090023000921";"cluster_787"
"AO090012000863";"cluster_558"
"AO090005000127";"cluster_789"
"AO090103000019";"cluster_792"
"AO090003000629";"cluster_696"
"AO090103000009";"cluster_791"
"AO090023000794";"cluster_795"
"AO090005000623";"cluster_796"
"AO090005000624";"cluster_796"
"AO090003001361";"cluster_799"
"AO090003001363";"cluster_799"
"AO090003001362";"cluster_799"
"AO090120000386";"cluster_707"
"AO090005000171";"cluster_802"
"AO090023000228";"cluster_803"
"AO090009000033";"cluster_351"
"AO090005000045";"cluster_804"
"AO090001000484";"cluster_804"
"AO090001000642";"cluster_804"
"AO090003000415";"cluster_804"
"AO090701000278";"cluster_805"
"AO090701000279";"cluster_805"
"AO090005000419";"cluster_810"
"AO090026000548";"cluster_809"
"AO090026000547";"cluster_809"
"AO090003000002";"cluster_806"
"AO090003000926";"cluster_816"
"AO090003000096";"cluster_813"
"AO090020000194";"cluster_817"
"AO090102000611";"cluster_817"
"AO090026000203";"cluster_801"
"AO090023000980";"cluster_824"
"AO090023000981";"cluster_824"
"AO090010000458";"cluster_825"
"AO090005001390";"cluster_768"
"AO090020000049";"cluster_820"
"AO090012000172";"cluster_828"
"AO090020000487";"cluster_830"
"AO090005001297";"cluster_759"
"AO090005001550";"cluster_835"
"AO090003000118";"cluster_797"
"AO090003000325";"cluster_837"
"AO090023000310";"cluster_837"
"AO090003000466";"cluster_761"
"AO090003000023";"cluster_840"
"AO090102000605";"cluster_662"
"AO090005000579";"cluster_839"
"AO090011000342";"cluster_843"
"AO090001000493";"cluster_829"
"AO090003000148";"cluster_847"
"AO090003000149";"cluster_847"
"AO090011000012";"cluster_575"
"AO090011000013";"cluster_575"
"AO090011000462";"cluster_849"
"AO090113000141";"cluster_849"
"AO090113000142";"cluster_849"
"AO090023000255";"cluster_851"
"AO090023000256";"cluster_851"
"AO090005001162";"cluster_853"
"AO090005001492";"cluster_855"
"AO090005001493";"cluster_855"
"AO090005000143";"cluster_798"
"AO090012000424";"cluster_815"
"AO090012000191";"cluster_857"
"AO090011000766";"cluster_859"
"AO090003000585";"cluster_860"
"AO090011000606";"cluster_850"
"AO090102000204";"cluster_862"
"AO090011000621";"cluster_861"
"AO090005000375";"cluster_869"
"AO090011000509";"cluster_870"
"AO090011000510";"cluster_870"
"AO090005001354";"cluster_874"
"AO090701000713";"cluster_827"
"AO090701000714";"cluster_827"
"AO090001000651";"cluster_877"
"AO090103000047";"cluster_878"
"AO090701000118";"cluster_858"
"AO090701000651";"cluster_881"
"AO090012000504";"cluster_883"
"AO090023000729";"cluster_871"
"AO090020000579";"cluster_885"
"AO090020000580";"cluster_885"
"AO090103000121";"cluster_887"
"AO090020000025";"cluster_888"
"AO090023000945";"cluster_899"
"AO090003001116";"cluster_747"
"AO090003001115";"cluster_747"
"AO090120000205";"cluster_902"
"AO090026000136";"cluster_907"
"AO090012000610";"cluster_898"
"AO090026000553";"cluster_911"
"AO090038000430";"cluster_879"
"AO090026000669";"cluster_909"
"AO090003001440";"cluster_913"
"AO090009000330";"cluster_822"
"AO090011000548";"cluster_893"
"AO090003000894";"cluster_904"
"AO090026000631";"cluster_917"
"AO090009000360";"cluster_918"
"AO090009000359";"cluster_918"
"AO090102000293";"cluster_920"
"AO090102000291";"cluster_920"
"AO090011000797";"cluster_921"
"AO090023000801";"cluster_922"
"AO090120000417";"cluster_926"
"AO090120000415";"cluster_926"
"AO090010000216";"cluster_929"
"AO090011000945";"cluster_910"
"AO090102000098";"cluster_916"
"AO090026000842";"cluster_794"
"AO090026000841";"cluster_794"
"AO090020000357";"cluster_794"
"AO090003000205";"cluster_794"
"AO090005000270";"cluster_896"
"AO090003000047";"cluster_945"
"AO090003000049";"cluster_945"
"AO090120000164";"cluster_897"
"AO090005000093";"cluster_948"
"AO090005000091";"cluster_948"
"AO090026000256";"cluster_947"
"AO090011000778";"cluster_437"
"AO090011000780";"cluster_437"
"AO090003001463";"cluster_951"
"AO090023000332";"cluster_872"
"AO090003000557";"cluster_908"
"AO090026000498";"cluster_954"
"AO090005001069";"cluster_954"
"AO090003000653";"cluster_953"
"AO090001000551";"cluster_900"
"AO090120000398";"cluster_938"
"AO090003000263";"cluster_959"
"AO090003000809";"cluster_961"
"AO090701000188";"cluster_915"
"AO090206000054";"cluster_956"
"AO090102000527";"cluster_966"
"AO090003000974";"cluster_958"
"AO090003001317";"cluster_967"
"AO090701000039";"cluster_971"
"AO090701000035";"cluster_971"
"AO090701000609";"cluster_972"
"AO090701000608";"cluster_972"
"AO090001000518";"cluster_973"
"AO090011000617";"cluster_963"
"AO090003000311";"cluster_946"
"AO090102000352";"cluster_906"
"AO090009000226";"cluster_977"
"AO090138000126";"cluster_950"
"AO090010000271";"cluster_950"
"AO090166000035";"cluster_950"
"AO090038000032";"cluster_978"
"AO090038000031";"cluster_978"
"AO090023000932";"cluster_970"
"AO090005001409";"cluster_895"
"AO090003001491";"cluster_728"
"AO090673000007";"cluster_928"
"AO090009000471";"cluster_983"
"AO090009000472";"cluster_983"
"AO090005001570";"cluster_989"
"AO090012000557";"cluster_991"
"AO090103000320";"cluster_992"
"AO090003000461";"cluster_979"
"AO090010000576";"cluster_996"
"AO090113000138";"cluster_997"
"AO090113000137";"cluster_997"
"AO090023000231";"cluster_999"
"AO090012000041";"cluster_866"
"AO090003001117";"cluster_998"
"AO090009000591";"cluster_1003"
"AO090023000590";"cluster_1003"
"AO090005000934";"cluster_974"
"AO090001000321";"cluster_994"
"AO090023000472";"cluster_1004"
"AO090701000158";"cluster_1006"
"AO090206000114";"cluster_1006"
"AO090023000767";"cluster_1005"
"AO090701000041";"cluster_1007"
"AO090701000040";"cluster_1007"
"AO090038000531";"cluster_935"
"AO090701000564";"cluster_1011"
"AO090012000905";"cluster_1010"
"AO090023000714";"cluster_1014"
"AO090003000929";"cluster_1015"
"AO090020000210";"cluster_1015"
"AO090038000630";"cluster_1019"
"AO090023000739";"cluster_1023"
"AO090009000288";"cluster_1024"
"AO090003000655";"cluster_1025"
"AO090120000384";"cluster_1028"
"AO090138000033";"cluster_1027"
"AO090012000722";"cluster_1017"
"AO090001000601";"cluster_990"
"AO090005000574";"cluster_1031"
"AO090003000608";"cluster_1026"
"AO090026000249";"cluster_1032"
"AO090026000254";"cluster_1032"
"AO090001000587";"cluster_1033"
"AO090001000586";"cluster_1033"
"AO090003000879";"cluster_965"
"AO090026000836";"cluster_1036"
"AO090026000835";"cluster_1036"
"AO090120000390";"cluster_1040"
"AO090138000035";"cluster_1038"
"AO090005000545";"cluster_1038"
"AO090138000036";"cluster_1038"
"AO090023000959";"cluster_1043"
"AO090120000316";"cluster_1044"
"AO090003000772";"cluster_1013"
"AO090010000591";"cluster_1013"
"AO090038000325";"cluster_1051"
"AO090038000324";"cluster_1051"
"AO090020000706";"cluster_1052"
"AO090120000349";"cluster_982"
"AO090206000020";"cluster_1055"
"AO090001000717";"cluster_1056"
"AO090012000718";"cluster_1045"
"AO090009000268";"cluster_1058"
"AO090009000269";"cluster_1058"
"AO090005001549";"cluster_1061"
"AO090701000721";"cluster_1062"
"AO090023000962";"cluster_307"
"AO090038000608";"cluster_1065"
"AO090005000959";"cluster_819"
"AO090011000924";"cluster_1068"
"AO090005001250";"cluster_1048"
"AO090038000573";"cluster_1035"
"AO090003000376";"cluster_1064"
"AO090010000456";"cluster_1071"
"AO090124000082";"cluster_1073"
"AO090124000081";"cluster_1073"
"AO090001000653";"cluster_1076"
"AO090001000654";"cluster_1076"
"AO090001000655";"cluster_1076"
"AO090005000804";"cluster_1078"
"AO090038000341";"cluster_1080"
"AO090009000477";"cluster_1077"
"AO090005001434";"cluster_1054"
"AO090001000521";"cluster_1082"
"AO090003000691";"cluster_1085"
"AO090038000524";"cluster_1087"
"AO090005000134";"cluster_1083"
"AO090005000461";"cluster_1094"
"AO090011000851";"cluster_1092"
"AO090011000852";"cluster_1092"
"AO090005000688";"cluster_1096"
"AO090009000567";"cluster_1097"
"AO090038000466";"cluster_1098"
"AO090020000020";"cluster_1099"
"AO090102000275";"cluster_1089"
"AO090001000735";"cluster_1102"
"AO090026000472";"cluster_1104"
"AO090023000047";"cluster_1105"
