cluster_number,cluster_type,fumigatus,niger,oryzae
236,core,AFUA_2G05390,estExt_Genewise1Plus.C_chr_701_t30465,AO090001000648
237,core,AFUA_5G07430,e_gw1.304.926.1,AO090701000650
238,unique,,gm1.4502_g,
239,exclusively_absent,AFUA_1G16460,estExt_fgenesh1_pg.C_chr_202_t20335,
240,core,AFUA_1G15110,MIX6629_19_27,AO090005001214
241,core,AFUA_3G05630,gm1.9650_g,AO090020000034
242,core,AFUA_5G10460,fgenesh1_pg.chr_102_#_351,AO090010000491
243,unique,,,AO090166000123
244,unique,AFUA_8G02350,,
245,core,AFUA_1G13100,e_gw1.802.960.1,AO090012000580
246,core,AFUA_3G14650,estExt_fgenesh1_pg.C_chr_101_t10098,AO090001000320
247,core,AFUA_2G16040,e_gw1.304.727.1,AO090012000197
248,unique,AFUA_5G06600,,
249,core,AFUA_6G08880,MIX24340_116_78,AO090001000562
250,core,AFUA_8G02780,gm1.7975_g,AO090010000769
251,core,AFUA_2G13480,estExt_fgenesh1_pm.C_chr_402_t10163,AO090026000327
252,exclusively_absent,,fgenesh1_pg.chr_301_#_243,AO090010000107
253,core,AFUA_6G13370,gm1.10916_g,AO090003000462
254,core,AFUA_3G07510,estExt_fgenesh1_pg.C_chr_402_t20490,AO090020000144
255,core,AFUA_5G08040,estExt_fgenesh1_pm.C_chr_6010244,AO090701000719
256,unique,AFUA_3G06922,,
257,exclusively_absent,AFUA_7G00160,gw1.701.1041.1,
258,core,AFUA_1G13900,MIX27885_80_68,AO090012000486
259,core,AFUA_2G09060,estExt_fgenesh1_pm.C_chr_3020110,AO090011000793
260,unique,,,AO090005001233
261,unique,,MIX16361_2_4,
262,unique,AFUA_2G17230,,
263,unique,,,AO090011000046
264,core,AFUA_1G02460,fgenesh1_pg.chr_202_#_453,AO090005000851
265,unique,AFUA_4G14560,,
266,core,AFUA_6G03570,fgenesh1_pg.chr_304_#_175,AO090009000554
267,core,AFUA_6G04290,estExt_fgenesh1_pg.C_chr_101_t10209,AO090701000122
268,exclusively_absent,AFUA_4G00210,estExt_Genemark1.C_chr_6040005,
269,core,AFUA_2G03640,gw1.401.317.1,AO090120000221
270,core,AFUA_5G13190,estExt_Genemark1.C_chr_102_t10480,AO090120000460
271,core,AFUA_6G11190,fgenesh1_pg.chr_802_#_563,AO090023000496
272,unique,,MIX5540_40_47,
273,unique,,gm1.8287_g,
274,unique,,,AO090206000074
275,exclusively_absent,,estExt_fgenesh1_pg.C_chr_602_t10303,AO090023000669
276,unique,AFUA_8G01520,,
277,unique,,,AO090012000087
278,unique,AFUA_4G01580,,
279,core,AFUA_2G13450,MIX13616_57_47,AO090026000324
280,core,AFUA_2G13430,MIX13599_29_26,AO090026000321
281,core,AFUA_3G08260,fgenesh1_pg.chr_402_#_907,AO090005001452
282,exclusively_absent,,MIX16803_7_29,AO090701000192
283,unique,,fgenesh1_pm.chr_501_#_207,
284,unique,,,AO090120000024
285,core,AFUA_1G14680,estExt_Genemark1.C_chr_202_t30041,AO090003000491
286,core,AFUA_5G03430,estExt_fgenesh1_pm.C_chr_1010295,AO090102000552
287,core,AFUA_2G13640,fgenesh1_pg.chr_402_#_429,AO090026000244
288,unique,,gw1.304.624.1,
289,unique,,gm1.9446_g,
290,core,AFUA_1G02990,MIX4933_26_46,AO090005000791
291,core,AFUA_6G12890,fgenesh1_pm.chr_802_#_371,AO090003000408
292,core,AFUA_4G12070,e_gw1.202.817.1,AO090003001000
293,core,AFUA_1G05280,fgenesh1_pg.chr_202_#_372,AO090003000824
294,core,AFUA_2G13630,estExt_Genemark1.C_chr_402_t10449,AO090026000245
295,unique,AFUA_3G00830,,
296,exclusively_absent,,fgenesh1_pm.chr_604_#_4,AO090023000444
297,unique,,fgenesh1_pm.chr_202_#_65,
298,core,AFUA_1G17220,fgenesh1_pg.chr_503_#_21,AO090023000401
299,core,AFUA_1G05240,estExt_Genewise1.C_chr_202_t20102,AO090003000821
300,unique,AFUA_7G00550,,
301,unique,,MIX23744_2_5,
302,core,AFUA_6G13690,fgenesh1_pm.chr_802_#_252,AO090103000347
303,unique,,estExt_Genewise1Plus.C_chr_601_t10006,
304,core,AFUA_7G02370,estExt_Genewise1Plus.C_chr_301_t20337,AO090038000616
305,exclusively_absent,,estExt_fgenesh1_pg.C_chr_101_t10231,AO090011000728
306,unique,,MIX4537_2_4,
307,core,AFUA_2G03700,fgenesh1_pg.chr_602_#_44,AO090023000962
308,core,AFUA_5G06260,estExt_Genewise1.C_chr_501_t10481,AO090009000631
309,unique,,estExt_Genewise1.C_chr_304_t20130,
310,unique,,gm1.9868_g,
311,unique,,fgenesh1_pg.chr_302_#_228,
312,unique,AFUA_4G08830,,
313,core,AFUA_4G09060,e_gw1.602.682.1,AO090023000649
314,core,AFUA_3G12430,fgenesh1_pm.chr_402_#_443,AO090005000725
315,core,AFUA_6G07690,fgenesh1_pg.chr_701_#_213,AO090003000177
316,core,AFUA_2G14130,MIX13381_39_40,AO090023000173
317,core,AFUA_4G07700,fgenesh1_pm.chr_602_#_89,AO090023000802
318,core,AFUA_1G09790,fgenesh1_pg.chr_802_#_128,AO090012000864
319,core,AFUA_1G15370,fgenesh1_pm.chr_202_#_650,AO090005001179
320,core,AFUA_8G05570,estExt_fgenesh1_pg.C_chr_5030023,AO090005000589
321,unique,,estExt_Genewise1.C_chr_801_t10257,
322,core,AFUA_2G14180,MIX13351_15_36,AO090023000134
323,unique,,,AO090026000012
324,core,AFUA_2G09490,fgenesh1_pg.chr_503_#_16,AO090011000719
325,core,AFUA_1G15130,MIX6682_5_14,AO090005001186
326,core,AFUA_4G12210,estExt_Genewise1Plus.C_chr_202_t20410,AO090009000423
327,core,AFUA_4G10210,gw1.602.733.1,AO090003001200
328,core,AFUA_4G13440,fgenesh1_pm.chr_202_#_413,AO090009000230
329,core,AFUA_1G03380,estExt_Genewise1.C_chr_202_t20145,AO090005000763
330,core,AFUA_1G05590,estExt_fgenesh1_pm.C_chr_8010210,AO090009000382
331,core,AFUA_3G06780,MIX24869_8_32,AO090020000319
332,core,AFUA_8G04270,e_gw1.503.216.1,AO090103000045
333,core,AFUA_4G13320,gw1.202.634.1,AO090009000244
334,unique,,fgenesh1_pg.chr_502_#_248,
335,exclusively_absent,AFUA_3G05720,e_gw1.701.1427.1,
336,unique,,MIX4804_35_50,
337,core,AFUA_2G04760,Aspni5.e_gw1.4.21.1,AO090003000279
338,core,AFUA_5G05870,estExt_Genewise1.C_chr_501_t20064,AO090009000677
339,core,AFUA_1G05960,estExt_Genewise1Plus.C_chr_801_t10387,AO090009000488
340,core,AFUA_1G10400,MIX27109_32_48,AO090038000387
341,unique,,,AO090005000993
342,core,AFUA_3G09850,estExt_fgenesh1_pm.C_chr_5020284,AO090005001261
343,unique,,fgenesh1_pm.chr_102_#_346,
344,core,AFUA_5G07710,gm1.3963_g,AO090701000677
345,exclusively_absent,AFUA_1G13920,,AO090012000484
346,core,AFUA_2G14730,MIX10216_12_25,AO090026000806
347,core,AFUA_2G15610,estExt_Genewise1.C_chr_304_t20149,AO090012000268
348,core,AFUA_6G10980,MIX28052_9_20,AO090023000521
349,unique,AFUA_1G14960,,
350,unique,,fgenesh1_pg.chr_802_#_371,
351,exclusively_absent,,fgenesh1_pg.chr_202_#_1156,AO090009000033
352,core,AFUA_2G08650,gw1.302.627.1,AO090011000840
353,core,AFUA_7G03870,MIX3155_148_78,AO090026000829
354,core,AFUA_2G07870,e_gw1.302.578.1,AO090011000913
355,unique,,,AO090001000043
356,unique,,estExt_fgenesh1_pg.C_chr_402_t10014,
357,unique,,fgenesh1_pg.chr_603_#_84,
358,core,AFUA_6G06400,MIX26668_105_78,AO090003000011
359,core,AFUA_1G12080,estExt_fgenesh1_pg.C_chr_601_t10191,AO090001000336
360,unique,,e_gw1.501.116.1,
361,core,AFUA_3G11080,MIX14546_22_52,AO090003000662
362,core,AFUA_3G06250,estExt_fgenesh1_pg.C_chr_701_t20309,AO090020000119
363,unique,,gw1.401.289.1,
364,core,AFUA_5G11900,estExt_fgenesh1_pg.C_chr_801_t10173,AO090120000299
365,unique,,estExt_Genemark1.C_chr_101_t10174,
366,unique,,gw1.301.269.1,
367,exclusively_absent,AFUA_5G09480,,AO090020000572
368,core,AFUA_4G07910,estExt_fgenesh1_pm.C_chr_6020100,AO090023000781
369,core,AFUA_2G14510,estExt_fgenesh1_pg.C_chr_402_t10074,AO090023000055
370,unique,AFUA_4G14290,,
371,exclusively_absent,,e_gw1.301.730.1,AO090020000668
372,core,AFUA_6G08820,estExt_fgenesh1_pm.C_chr_701_t10352,AO090001000554
373,core,AFUA_1G13740,estExt_Genewise1Plus.C_chr_802_t20015,AO090012000502
374,unique,,fgenesh1_pg.chr_402_#_980,
375,core,AFUA_1G07090,MIX12828_110_93,AO090012000961
376,core,AFUA_1G16880,fgenesh1_pg.chr_202_#_793,AO090005000987
377,core,AFUA_5G06750,estExt_Genewise1Plus.C_chr_501_t10375,AO090701000211
378,core,AFUA_2G01820,MIX12048_28_55,AO090011000439
379,core,AFUA_5G13970,estExt_Genewise1.C_chr_102_t20389,AO090113000103
380,unique,,estExt_Genewise1Plus.C_chr_202_t40347,
381,core,AFUA_6G04000,estExt_Genewise1.C_chr_304_t10184,AO090701000123
382,core,AFUA_2G03360,estExt_fgenesh1_pg.C_chr_401_t20050,AO090120000251
383,unique,,,AO090005000015
384,core,AFUA_7G01600,e_gw1.301.378.1,AO090038000529
385,core,AFUA_2G12490,fgenesh1_pm.chr_402_#_272,AO090026000395
386,exclusively_absent,,MIX29191_1_6,AO090010000300
387,core,AFUA_4G07670,fgenesh1_pm.chr_602_#_87,AO090023000809
388,core,AFUA_4G10830,fgenesh1_pg.chr_602_#_458,AO090003001128
389,core,AFUA_7G01810,estExt_fgenesh1_pg.C_chr_3010337,AO090038000557
390,core,AFUA_5G05550,estExt_Genewise1.C_chr_501_t20134,AO090009000707
391,core,AFUA_5G06590,MIX16817_18_58,AO090701000191
392,unique,AFUA_3G07460,,
393,core,AFUA_5G11890,fgenesh1_pm.chr_801_#_121,AO090120000300
394,unique,,fgenesh1_pm.chr_602_#_32,
395,unique,,MIX10268_1_4,
396,exclusively_absent,AFUA_2G04960,fgenesh1_pg.chr_701_#_390,
397,unique,,MIX11200_3_9,
398,core,AFUA_2G04140,estExt_Genewise1Plus.C_chr_401_t20179,AO090005001543
399,unique,,MIX18540_8_27,
400,core,AFUA_5G11720,fgenesh1_pm.chr_801_#_146,AO090120000290
401,core,AFUA_5G02420,fgenesh1_pg.chr_402_#_801,AO090102000355
402,unique,,MIX21747_8_16,
403,exclusively_absent,,estExt_fgenesh1_pg.C_chr_4030015,AO090102000004
404,core,AFUA_1G15120,estExt_fgenesh1_pg.C_chr_202_t30037,AO090005001213
405,core,AFUA_2G11760,e_gw1.402.511.1,AO090026000470
406,core,AFUA_2G13830,estExt_Genewise1Plus.C_chr_402_t20334,AO090026000191
407,unique,,estExt_Genewise1.C_chr_101_t10095,
408,core,AFUA_6G04360,estExt_Genewise1Plus.C_chr_304_t10173,AO090701000115
409,core,AFUA_5G11790,fgenesh1_pm.chr_801_#_142,AO090120000297
410,core,AFUA_4G03760,estExt_fgenesh1_pg.C_chr_102_t10103,AO090011000351
411,core,AFUA_4G03000,MIX2100_74_73,AO090012000173
412,unique,,e_gw1.304.757.1,
413,core,AFUA_8G05660,gw1.304.609.1,AO090005000576
414,core,AFUA_5G07970,estExt_Genewise1Plus.C_chr_601_t20164,AO090701000710
415,core,AFUA_6G10410,estExt_fgenesh1_pg.C_chr_701_t10099,AO090023000240
416,core,AFUA_7G01840,estExt_Genewise1.C_chr_301_t20240,AO090038000561
417,exclusively_absent,AFUA_7G01420,estExt_fgenesh1_pg.C_chr_3010287,
418,unique,,estExt_fgenesh1_pg.C_chr_101_t10061,
419,core,AFUA_2G07880,estExt_fgenesh1_pm.C_chr_3020028,AO090011000912
420,core,AFUA_2G04920,MIX23891_32_65,AO090003000296
421,unique,AFUA_5G03710,,
422,core,AFUA_2G15590,MIX10573_98_85,AO090012000271
423,unique,,,AO090003001237
424,exclusively_absent,AFUA_5G08150,,AO090011000016
425,core,AFUA_6G08020,fgenesh1_pg.chr_701_#_181,AO090003000126
426,core,AFUA_2G13530,fgenesh1_pm.chr_402_#_309,AO090026000260
427,unique,AFUA_1G01020,,
428,exclusively_absent,,Aspni5.estExt_GeneWisePlus.C_120299,AO090010000218
429,core,AFUA_2G02520,estExt_Genewise1Plus.C_chr_401_t10479,AO090026000592
430,core,AFUA_1G10290,estExt_Genewise1Plus.C_chr_802_t10172,AO090038000400
431,core,AFUA_6G02070,estExt_fgenesh1_pg.C_chr_302_t10462,AO090120000088
432,core,AFUA_1G06060,gm1.10052_g,AO090009000478
433,unique,,gm1.2239_g,
434,unique,AFUA_4G14060,,
435,core,AFUA_3G07300,fgenesh1_pg.chr_802_#_243,AO090038000303
436,exclusively_absent,,estExt_fgenesh1_pg.C_chr_402_t10001,AO090001000007
437,core,AFUA_2G09170,Aspni5.fgenesh1_pm.C_scaffold_9000170,AO090011000778
438,unique,,fgenesh1_pg.chr_701_#_297,
439,unique,,estExt_Genemark1.C_chr_502_t20083,
440,core,AFUA_2G01660,fgenesh1_pg.chr_601_#_332,AO090701000781
441,unique,,fgenesh1_pg.chr_304_#_404,
442,unique,,MIX3572_50_68,
443,core,AFUA_1G04360,fgenesh1_pm.chr_202_#_191,AO090003000913
444,core,AFUA_1G02510,estExt_Genewise1.C_chr_202_t20215,AO090005000845
445,core,AFUA_3G05700,gw1.701.1537.1,AO090020000039
446,unique,AFUA_4G08730,,
447,core,AFUA_1G05100,fgenesh1_pm.chr_202_#_234,AO090003000806
448,core,AFUA_2G16780,estExt_Genemark1.C_chr_6030064,AO090102000147
449,unique,,e_gw1.301.472.1,
450,core,AFUA_4G07560,MIX21322_16_43,AO090023000819
451,core,AFUA_3G05820,estExt_fgenesh1_pm.C_chr_701_t20132,AO090020000050
