"Afumigatus";"cluster"
"AFUA_1G06330";"cluster_119"
"AFUA_2G15200";"cluster_109"
"AFUA_2G15220";"cluster_109"
"AFUA_2G15230";"cluster_109"
"AFUA_2G08670";"cluster_120"
"AFUA_7G04600";"cluster_125"
"AFUA_7G04610";"cluster_125"
"AFUA_3G09560";"cluster_127"
"AFUA_2G12940";"cluster_122"
"AFUA_6G04940";"cluster_130"
"AFUA_6G04950";"cluster_130"
"AFUA_6G13200";"cluster_132"
"AFUA_5G11870";"cluster_135"
"AFUA_5G11840";"cluster_135"
"AFUA_5G11850";"cluster_135"
"AFUA_1G11230";"cluster_136"
"AFUA_2G03710";"cluster_136"
"AFUA_4G08030";"cluster_139"
"AFUA_4G08040";"cluster_139"
"AFUA_5G08830";"cluster_143"
"AFUA_1G07380";"cluster_141"
"AFUA_2G17600";"cluster_147"
"AFUA_6G08520";"cluster_145"
"AFUA_6G08420";"cluster_148"
"AFUA_3G14370";"cluster_149"
"AFUA_3G14350";"cluster_149"
"AFUA_2G14800";"cluster_152"
"AFUA_5G01730";"cluster_158"
"AFUA_1G04340";"cluster_160"
"AFUA_6G02060";"cluster_159"
"AFUA_3G03420";"cluster_161"
"AFUA_3G04220";"cluster_162"
"AFUA_4G08770";"cluster_163"
"AFUA_4G08740";"cluster_163"
"AFUA_1G11110";"cluster_155"
"AFUA_3G05950";"cluster_169"
"AFUA_5G09710";"cluster_157"
"AFUA_2G01760";"cluster_170"
"AFUA_6G04080";"cluster_171"
"AFUA_3G13790";"cluster_172"
"AFUA_3G13770";"cluster_172"
"AFUA_6G04830";"cluster_173"
"AFUA_6G04810";"cluster_173"
"AFUA_2G01500";"cluster_176"
"AFUA_2G01510";"cluster_176"
"AFUA_2G15010";"cluster_177"
"AFUA_1G03930";"cluster_180"
"AFUA_1G03920";"cluster_180"
"AFUA_3G12810";"cluster_174"
"AFUA_6G13120";"cluster_182"
"AFUA_1G02140";"cluster_183"
"AFUA_1G13930";"cluster_185"
"AFUA_7G02480";"cluster_190"
"AFUA_7G02490";"cluster_190"
"AFUA_7G02500";"cluster_190"
"AFUA_2G05020";"cluster_191"
"AFUA_3G10170";"cluster_192"
"AFUA_3G10160";"cluster_192"
"AFUA_1G01490";"cluster_193"
"AFUA_2G06050";"cluster_194"
"AFUA_2G06040";"cluster_194"
"AFUA_2G06060";"cluster_194"
"AFUA_2G17180";"cluster_195"
"AFUA_7G05700";"cluster_196"
"AFUA_3G14590";"cluster_197"
"AFUA_3G14600";"cluster_197"
"AFUA_8G07260";"cluster_197"
"AFUA_4G03070";"cluster_181"
"AFUA_7G03760";"cluster_198"
"AFUA_4G11070";"cluster_199"
"AFUA_6G03960";"cluster_201"
"AFUA_4G11290";"cluster_204"
"AFUA_5G03720";"cluster_205"
"AFUA_2G13290";"cluster_207"
"AFUA_2G13360";"cluster_209"
"AFUA_2G13370";"cluster_209"
"AFUA_7G06360";"cluster_212"
"AFUA_3G12530";"cluster_214"
"AFUA_6G14330";"cluster_217"
"AFUA_6G14350";"cluster_217"
"AFUA_3G08020";"cluster_218"
"AFUA_3G08030";"cluster_218"
"AFUA_3G08040";"cluster_218"
"AFUA_2G05180";"cluster_219"
"AFUA_6G12530";"cluster_216"
"AFUA_6G12522";"cluster_216"
"AFUA_6G12540";"cluster_216"
"AFUA_6G12400";"cluster_221"
"AFUA_1G05830";"cluster_223"
"AFUA_1G04260";"cluster_224"
"AFUA_1G04240";"cluster_224"
"AFUA_2G15130";"cluster_226"
"AFUA_1G14330";"cluster_226"
"AFUA_5G00790";"cluster_226"
"AFUA_5G04010";"cluster_228"
"AFUA_3G04210";"cluster_231"
"AFUA_4G08920";"cluster_232"
"AFUA_4G08930";"cluster_232"
"AFUA_6G10390";"cluster_233"
"AFUA_2G13440";"cluster_235"
"AFUA_1G15010";"cluster_234"
"AFUA_2G05390";"cluster_236"
"AFUA_1G16460";"cluster_239"
"AFUA_1G15110";"cluster_240"
"AFUA_3G05630";"cluster_241"
"AFUA_5G07430";"cluster_237"
"AFUA_5G10460";"cluster_242"
"AFUA_5G10450";"cluster_242"
"AFUA_1G13100";"cluster_245"
"AFUA_2G16040";"cluster_247"
"AFUA_8G02780";"cluster_250"
"AFUA_3G14650";"cluster_246"
"AFUA_2G13480";"cluster_251"
"AFUA_6G08880";"cluster_249"
"AFUA_6G13370";"cluster_253"
"AFUA_3G07510";"cluster_254"
"AFUA_3G07520";"cluster_254"
"AFUA_7G00160";"cluster_257"
"AFUA_1G13900";"cluster_258"
"AFUA_1G02460";"cluster_264"
"AFUA_1G02530";"cluster_264"
"AFUA_6G03570";"cluster_266"
"AFUA_5G02940";"cluster_266"
"AFUA_6G04290";"cluster_267"
"AFUA_5G08600";"cluster_267"
"AFUA_5G09190";"cluster_230"
"AFUA_5G13190";"cluster_270"
"AFUA_6G11190";"cluster_271"
"AFUA_2G13430";"cluster_280"
"AFUA_2G13450";"cluster_279"
"AFUA_2G13470";"cluster_279"
"AFUA_5G08040";"cluster_255"
"AFUA_5G08050";"cluster_255"
"AFUA_2G03640";"cluster_269"
"AFUA_4G00210";"cluster_268"
"AFUA_1G14680";"cluster_285"
"AFUA_1G02990";"cluster_290"
"AFUA_1G03000";"cluster_290"
"AFUA_4G12070";"cluster_292"
"AFUA_6G12890";"cluster_291"
"AFUA_6G12910";"cluster_291"
"AFUA_1G05280";"cluster_293"
"AFUA_2G13630";"cluster_294"
"AFUA_5G03430";"cluster_286"
"AFUA_1G17220";"cluster_298"
"AFUA_4G13920";"cluster_298"
"AFUA_8G01970";"cluster_298"
"AFUA_1G05240";"cluster_299"
"AFUA_6G13690";"cluster_302"
"AFUA_2G09060";"cluster_259"
"AFUA_2G09040";"cluster_259"
"AFUA_7G02370";"cluster_304"
"AFUA_4G09060";"cluster_313"
"AFUA_4G09070";"cluster_313"
"AFUA_3G12430";"cluster_314"
"AFUA_5G06260";"cluster_308"
"AFUA_6G07690";"cluster_315"
"AFUA_1G15370";"cluster_319"
"AFUA_1G09790";"cluster_318"
"AFUA_1G09800";"cluster_318"
"AFUA_8G05570";"cluster_320"
"AFUA_4G07700";"cluster_317"
"AFUA_2G09490";"cluster_324"
"AFUA_1G15130";"cluster_325"
"AFUA_4G10210";"cluster_327"
"AFUA_4G13440";"cluster_328"
"AFUA_1G03380";"cluster_329"
"AFUA_3G06780";"cluster_331"
"AFUA_8G04270";"cluster_332"
"AFUA_4G13320";"cluster_333"
"AFUA_3G05720";"cluster_335"
"AFUA_2G14130";"cluster_316"
"AFUA_4G12210";"cluster_326"
"AFUA_2G04760";"cluster_337"
"AFUA_1G05590";"cluster_330"
"AFUA_1G05960";"cluster_339"
"AFUA_1G05970";"cluster_339"
"AFUA_1G10400";"cluster_340"
"AFUA_1G10410";"cluster_340"
"AFUA_3G09850";"cluster_342"
"AFUA_3G09860";"cluster_342"
"AFUA_5G07710";"cluster_344"
"AFUA_2G14180";"cluster_322"
"AFUA_2G14730";"cluster_346"
"AFUA_2G15610";"cluster_347"
"AFUA_2G15600";"cluster_347"
"AFUA_6G10980";"cluster_348"
"AFUA_6G11030";"cluster_348"
"AFUA_2G07870";"cluster_354"
"AFUA_2G07810";"cluster_354"
"AFUA_3G09320";"cluster_354"
"AFUA_2G07820";"cluster_354"
"AFUA_7G03870";"cluster_353"
"AFUA_7G03860";"cluster_353"
"AFUA_1G12080";"cluster_359"
"AFUA_3G11080";"cluster_361"
"AFUA_2G08650";"cluster_352"
"AFUA_4G07910";"cluster_368"
"AFUA_2G14510";"cluster_369"
"AFUA_2G14497";"cluster_369"
"AFUA_6G08820";"cluster_372"
"AFUA_5G09480";"cluster_367"
"AFUA_5G06750";"cluster_377"
"AFUA_1G13740";"cluster_373"
"AFUA_2G01820";"cluster_378"
"AFUA_2G01810";"cluster_378"
"AFUA_5G11900";"cluster_364"
"AFUA_5G13970";"cluster_379"
"AFUA_3G06250";"cluster_362"
"AFUA_6G06400";"cluster_358"
"AFUA_2G03360";"cluster_382"
"AFUA_2G12490";"cluster_385"
"AFUA_2G12480";"cluster_385"
"AFUA_2G12450";"cluster_385"
"AFUA_7G01600";"cluster_384"
"AFUA_7G01590";"cluster_384"
"AFUA_5G13810";"cluster_384"
"AFUA_7G01580";"cluster_384"
"AFUA_5G05870";"cluster_338"
"AFUA_5G05880";"cluster_338"
"AFUA_1G07090";"cluster_375"
"AFUA_4G10830";"cluster_388"
"AFUA_4G10840";"cluster_388"
"AFUA_7G01810";"cluster_389"
"AFUA_7G01820";"cluster_389"
"AFUA_5G05550";"cluster_390"
"AFUA_4G07670";"cluster_387"
"AFUA_4G07660";"cluster_387"
"AFUA_5G06590";"cluster_391"
"AFUA_5G06580";"cluster_391"
"AFUA_2G11580";"cluster_391"
"AFUA_1G13800";"cluster_391"
"AFUA_3G01890";"cluster_391"
"AFUA_6G04000";"cluster_381"
"AFUA_5G11890";"cluster_393"
"AFUA_5G02420";"cluster_401"
"AFUA_2G04960";"cluster_396"
"AFUA_2G11760";"cluster_405"
"AFUA_2G11750";"cluster_405"
"AFUA_1G15120";"cluster_404"
"AFUA_1G15300";"cluster_404"
"AFUA_4G03760";"cluster_410"
"AFUA_4G03750";"cluster_410"
"AFUA_2G04140";"cluster_398"
"AFUA_4G03000";"cluster_411"
"AFUA_6G04360";"cluster_408"
"AFUA_8G05660";"cluster_413"
"AFUA_8G05670";"cluster_413"
"AFUA_5G07970";"cluster_414"
"AFUA_6G10410";"cluster_415"
"AFUA_7G01420";"cluster_417"
"AFUA_2G07880";"cluster_419"
"AFUA_1G16880";"cluster_376"
"AFUA_5G11790";"cluster_409"
"AFUA_2G15590";"cluster_422"
"AFUA_7G01840";"cluster_416"
"AFUA_2G04920";"cluster_420"
"AFUA_6G02070";"cluster_431"
"AFUA_1G06060";"cluster_432"
"AFUA_2G13830";"cluster_406"
"AFUA_1G10290";"cluster_430"
"AFUA_3G07300";"cluster_435"
"AFUA_5G02260";"cluster_435"
"AFUA_1G04360";"cluster_443"
"AFUA_1G02510";"cluster_444"
"AFUA_1G02500";"cluster_444"
"AFUA_1G05100";"cluster_447"
"AFUA_1G05110";"cluster_447"
"AFUA_2G16780";"cluster_448"
"AFUA_2G16790";"cluster_448"
"AFUA_6G08020";"cluster_425"
"AFUA_2G02520";"cluster_429"
"AFUA_4G07560";"cluster_450"
"AFUA_3G05820";"cluster_451"
"AFUA_3G05830";"cluster_451"
"AFUA_2G02360";"cluster_452"
"AFUA_1G13200";"cluster_453"
"AFUA_2G16850";"cluster_454"
"AFUA_3G07020";"cluster_455"
"AFUA_3G08000";"cluster_458"
"AFUA_1G14510";"cluster_459"
"AFUA_1G14520";"cluster_459"
"AFUA_3G05700";"cluster_445"
"AFUA_2G15760";"cluster_465"
"AFUA_2G15770";"cluster_465"
"AFUA_2G02170";"cluster_468"
"AFUA_2G04790";"cluster_469"
"AFUA_6G04840";"cluster_460"
"AFUA_1G10390";"cluster_470"
"AFUA_3G08810";"cluster_471"
"AFUA_2G07950";"cluster_477"
"AFUA_1G17440";"cluster_476"
"AFUA_6G09910";"cluster_480"
"AFUA_6G09920";"cluster_480"
"AFUA_1G04780";"cluster_479"
"AFUA_1G12540";"cluster_478"
"AFUA_5G00340";"cluster_486"
"AFUA_7G02120";"cluster_490"
"AFUA_7G02110";"cluster_490"
"AFUA_6G13080";"cluster_489"
"AFUA_3G05440";"cluster_492"
"AFUA_3G05430";"cluster_492"
"AFUA_8G02650";"cluster_493"
"AFUA_6G02410";"cluster_497"
"AFUA_4G03410";"cluster_499"
"AFUA_1G13920";"cluster_345"
"AFUA_2G02510";"cluster_502"
"AFUA_3G11500";"cluster_491"
"AFUA_6G14310";"cluster_505"
"AFUA_6G14300";"cluster_505"
"AFUA_3G01400";"cluster_503"
"AFUA_4G11240";"cluster_509"
"AFUA_4G04350";"cluster_510"
"AFUA_1G12332";"cluster_514"
"AFUA_2G01520";"cluster_513"
"AFUA_1G10880";"cluster_522"
"AFUA_4G09020";"cluster_525"
"AFUA_4G09010";"cluster_525"
"AFUA_2G05610";"cluster_530"
"AFUA_1G05490";"cluster_531"
"AFUA_1G05500";"cluster_531"
"AFUA_4G06020";"cluster_536"
"AFUA_4G06030";"cluster_536"
"AFUA_6G11070";"cluster_533"
"AFUA_6G11100";"cluster_533"
"AFUA_6G11300";"cluster_538"
"AFUA_2G05970";"cluster_542"
"AFUA_5G06330";"cluster_546"
"AFUA_2G02220";"cluster_508"
"AFUA_6G08580";"cluster_547"
"AFUA_3G05890";"cluster_544"
"AFUA_2G08780";"cluster_545"
"AFUA_4G12980";"cluster_516"
"AFUA_1G04290";"cluster_551"
"AFUA_1G04280";"cluster_551"
"AFUA_5G03160";"cluster_554"
"AFUA_1G13690";"cluster_555"
"AFUA_5G01350";"cluster_543"
"AFUA_5G03120";"cluster_548"
"AFUA_6G05090";"cluster_559"
"AFUA_6G05100";"cluster_559"
"AFUA_1G12550";"cluster_562"
"AFUA_4G02930";"cluster_563"
"AFUA_8G04040";"cluster_564"
"AFUA_6G02700";"cluster_566"
"AFUA_4G11220";"cluster_565"
"AFUA_5G11940";"cluster_550"
"AFUA_5G11930";"cluster_550"
"AFUA_4G11320";"cluster_577"
"AFUA_3G02270";"cluster_579"
"AFUA_1G16830";"cluster_583"
"AFUA_1G16820";"cluster_583"
"AFUA_1G05420";"cluster_581"
"AFUA_2G16240";"cluster_586"
"AFUA_3G10070";"cluster_588"
"AFUA_2G08470";"cluster_561"
"AFUA_2G13880";"cluster_592"
"AFUA_2G13870";"cluster_592"
"AFUA_5G13240";"cluster_593"
"AFUA_4G01050";"cluster_597"
"AFUA_1G17270";"cluster_598"
"AFUA_1G14620";"cluster_573"
"AFUA_1G14630";"cluster_573"
"AFUA_3G12730";"cluster_599"
"AFUA_5G10850";"cluster_603"
"AFUA_3G08260";"cluster_281"
"AFUA_3G08265";"cluster_281"
"AFUA_1G07350";"cluster_604"
"AFUA_1G07340";"cluster_604"
"AFUA_1G11420";"cluster_602"
"AFUA_6G04650";"cluster_613"
"AFUA_3G11200";"cluster_614"
"AFUA_1G12690";"cluster_534"
"AFUA_4G10860";"cluster_582"
"AFUA_1G10940";"cluster_539"
"AFUA_3G12870";"cluster_616"
"AFUA_3G12970";"cluster_616"
"AFUA_4G09150";"cluster_576"
"AFUA_2G16140";"cluster_619"
"AFUA_4G12120";"cluster_512"
"AFUA_4G12140";"cluster_512"
"AFUA_4G12110";"cluster_512"
"AFUA_4G11210";"cluster_622"
"AFUA_7G06020";"cluster_568"
"AFUA_5G02720";"cluster_620"
"AFUA_3G11590";"cluster_628"
"AFUA_2G08850";"cluster_631"
"AFUA_2G03080";"cluster_630"
"AFUA_7G02350";"cluster_626"
"AFUA_2G05520";"cluster_633"
"AFUA_5G03400";"cluster_636"
"AFUA_2G00340";"cluster_634"
"AFUA_4G12680";"cluster_635"
"AFUA_5G06070";"cluster_637"
"AFUA_4G14130";"cluster_637"
"AFUA_1G03230";"cluster_637"
"AFUA_6G07580";"cluster_638"
"AFUA_6G07570";"cluster_638"
"AFUA_2G03560";"cluster_624"
"AFUA_4G07140";"cluster_641"
"AFUA_4G05840";"cluster_643"
"AFUA_3G09935";"cluster_645"
"AFUA_5G05920";"cluster_648"
"AFUA_5G05910";"cluster_648"
"AFUA_2G04450";"cluster_653"
"AFUA_2G13640";"cluster_287"
"AFUA_4G06750";"cluster_617"
"AFUA_5G02360";"cluster_473"
"AFUA_5G02370";"cluster_473"
"AFUA_4G11850";"cluster_658"
"AFUA_4G11860";"cluster_658"
"AFUA_4G08800";"cluster_647"
"AFUA_3G10690";"cluster_666"
"AFUA_7G01030";"cluster_666"
"AFUA_2G10460";"cluster_496"
"AFUA_5G13360";"cluster_669"
"AFUA_3G11040";"cluster_668"
"AFUA_8G04800";"cluster_670"
"AFUA_8G04790";"cluster_670"
"AFUA_5G02590";"cluster_673"
"AFUA_6G08330";"cluster_675"
"AFUA_3G08730";"cluster_680"
"AFUA_3G01280";"cluster_680"
"AFUA_3G07670";"cluster_680"
"AFUA_5G06480";"cluster_684"
"AFUA_5G06500";"cluster_684"
"AFUA_1G17040";"cluster_683"
"AFUA_7G00480";"cluster_688"
"AFUA_5G06220";"cluster_665"
"AFUA_5G06210";"cluster_665"
"AFUA_2G04700";"cluster_691"
"AFUA_4G02900";"cluster_608"
"AFUA_3G03430";"cluster_676"
"AFUA_3G03670";"cluster_676"
"AFUA_6G13660";"cluster_693"
"AFUA_6G04710";"cluster_672"
"AFUA_1G02010";"cluster_698"
"AFUA_1G01990";"cluster_698"
"AFUA_5G09430";"cluster_689"
"AFUA_1G09130";"cluster_700"
"AFUA_1G09120";"cluster_700"
"AFUA_1G09870";"cluster_699"
"AFUA_1G03740";"cluster_702"
"AFUA_1G03730";"cluster_702"
"AFUA_2G03150";"cluster_692"
"AFUA_2G03140";"cluster_692"
"AFUA_1G00850";"cluster_703"
"AFUA_2G05540";"cluster_704"
"AFUA_2G05530";"cluster_704"
"AFUA_2G02880";"cluster_705"
"AFUA_3G09680";"cluster_708"
"AFUA_2G09070";"cluster_712"
"AFUA_5G05520";"cluster_642"
"AFUA_2G10000";"cluster_711"
"AFUA_6G03950";"cluster_720"
"AFUA_3G07130";"cluster_724"
"AFUA_8G06140";"cluster_724"
"AFUA_1G02540";"cluster_725"
"AFUA_2G15970";"cluster_727"
"AFUA_2G15980";"cluster_727"
"AFUA_2G12980";"cluster_718"
"AFUA_2G10990";"cluster_733"
"AFUA_2G11000";"cluster_733"
"AFUA_5G03320";"cluster_722"
"AFUA_3G02760";"cluster_694"
"AFUA_6G12270";"cluster_736"
"AFUA_2G07730";"cluster_739"
"AFUA_1G03992";"cluster_731"
"AFUA_6G09980";"cluster_743"
"AFUA_5G10120";"cluster_742"
"AFUA_5G10660";"cluster_745"
"AFUA_5G01750";"cluster_746"
"AFUA_1G09040";"cluster_741"
"AFUA_2G08240";"cluster_748"
"AFUA_2G08230";"cluster_748"
"AFUA_5G05830";"cluster_750"
"AFUA_4G01590";"cluster_749"
"AFUA_2G08660";"cluster_752"
"AFUA_2G06130";"cluster_754"
"AFUA_8G04950";"cluster_632"
"AFUA_2G11810";"cluster_735"
"AFUA_6G02300";"cluster_762"
"AFUA_1G09070";"cluster_765"
"AFUA_6G12340";"cluster_763"
"AFUA_7G04580";"cluster_770"
"AFUA_2G01910";"cluster_734"
"AFUA_5G07100";"cluster_769"
"AFUA_3G12740";"cluster_760"
"AFUA_7G07060";"cluster_535"
"AFUA_7G08310";"cluster_535"
"AFUA_4G11110";"cluster_775"
"AFUA_5G12430";"cluster_778"
"AFUA_7G01920";"cluster_779"
"AFUA_6G06990";"cluster_780"
"AFUA_3G05500";"cluster_783"
"AFUA_7G05430";"cluster_785"
"AFUA_3G08750";"cluster_786"
"AFUA_3G08760";"cluster_786"
"AFUA_7G04400";"cluster_789"
"AFUA_8G04060";"cluster_792"
"AFUA_3G10800";"cluster_696"
"AFUA_8G03970";"cluster_791"
"AFUA_4G07770";"cluster_795"
"AFUA_8G05230";"cluster_796"
"AFUA_8G05240";"cluster_796"
"AFUA_5G01700";"cluster_799"
"AFUA_5G01710";"cluster_799"
"AFUA_5G12600";"cluster_707"
"AFUA_7G04795";"cluster_802"
"AFUA_6G10380";"cluster_803"
"AFUA_1G06810";"cluster_804"
"AFUA_6G12930";"cluster_804"
"AFUA_5G07060";"cluster_805"
"AFUA_5G07050";"cluster_805"
"AFUA_7G05540";"cluster_810"
"AFUA_2G11080";"cluster_809"
"AFUA_6G06335";"cluster_806"
"AFUA_1G15520";"cluster_812"
"AFUA_1G04210";"cluster_816"
"AFUA_6G08300";"cluster_813"
"AFUA_5G04080";"cluster_817"
"AFUA_4G12040";"cluster_817"
"AFUA_5G04090";"cluster_817"
"AFUA_2G13780";"cluster_801"
"AFUA_4G06140";"cluster_824"
"AFUA_4G06130";"cluster_824"
"AFUA_5G10830";"cluster_825"
"AFUA_3G08780";"cluster_768"
"AFUA_3G05800";"cluster_820"
"AFUA_4G02990";"cluster_828"
"AFUA_5G09090";"cluster_830"
"AFUA_3G09370";"cluster_759"
"AFUA_6G07490";"cluster_835"
"AFUA_6G08120";"cluster_797"
"AFUA_6G10010";"cluster_837"
"AFUA_2G05190";"cluster_837"
"AFUA_6G13410";"cluster_761"
"AFUA_6G06520";"cluster_840"
"AFUA_5G04020";"cluster_662"
"AFUA_8G05630";"cluster_839"
"AFUA_4G03840";"cluster_843"
"AFUA_1G06920";"cluster_829"
"AFUA_6G07870";"cluster_847"
"AFUA_6G07860";"cluster_847"
"AFUA_7G06670";"cluster_575"
"AFUA_3G03920";"cluster_849"
"AFUA_2G01950";"cluster_849"
"AFUA_6G10140";"cluster_851"
"AFUA_6G10210";"cluster_851"
"AFUA_1G15550";"cluster_853"
"AFUA_3G07940";"cluster_855"
"AFUA_7G04590";"cluster_798"
"AFUA_2G15050";"cluster_815"
"AFUA_2G16080";"cluster_857"
"AFUA_2G09282";"cluster_859"
"AFUA_3G10350";"cluster_860"
"AFUA_2G10320";"cluster_850"
"AFUA_2G16520";"cluster_862"
"AFUA_2G10150";"cluster_861"
"AFUA_7G05340";"cluster_869"
"AFUA_2G02290";"cluster_870"
"AFUA_2G02300";"cluster_870"
"AFUA_3G08840";"cluster_874"
"AFUA_6G09780";"cluster_875"
"AFUA_5G08000";"cluster_827"
"AFUA_2G05410";"cluster_877"
"AFUA_8G04300";"cluster_878"
"AFUA_6G04330";"cluster_858"
"AFUA_5G07440";"cluster_881"
"AFUA_1G13720";"cluster_883"
"AFUA_4G08300";"cluster_871"
"AFUA_5G09520";"cluster_885"
"AFUA_5G09530";"cluster_885"
"AFUA_3G05530";"cluster_888"
"AFUA_1G14260";"cluster_831"
"AFUA_4G06480";"cluster_899"
"AFUA_4G11040";"cluster_747"
"AFUA_4G11050";"cluster_747"
"AFUA_5G08550";"cluster_902"
"AFUA_2G14080";"cluster_907"
"AFUA_1G12900";"cluster_898"
"AFUA_2G11110";"cluster_911"
"AFUA_1G10050";"cluster_879"
"AFUA_5G11590";"cluster_909"
"AFUA_6G00120";"cluster_913"
"AFUA_6G00130";"cluster_913"
"AFUA_4G12620";"cluster_822"
"AFUA_2G10820";"cluster_893"
"AFUA_1G04640";"cluster_904"
"AFUA_2G02850";"cluster_917"
"AFUA_1G05740";"cluster_918"
"AFUA_1G05745";"cluster_918"
"AFUA_5G02230";"cluster_920"
"AFUA_5G02220";"cluster_920"
"AFUA_2G09000";"cluster_921"
"AFUA_4G07710";"cluster_922"
"AFUA_5G12930";"cluster_926"
"AFUA_5G12950";"cluster_926"
"AFUA_7G01400";"cluster_929"
"AFUA_2G07470";"cluster_910"
"AFUA_2G17220";"cluster_916"
"AFUA_7G03740";"cluster_794"
"AFUA_4G06890";"cluster_794"
"AFUA_7G03750";"cluster_794"
"AFUA_7G05250";"cluster_896"
"AFUA_6G06720";"cluster_945"
"AFUA_6G06710";"cluster_945"
"AFUA_6G02710";"cluster_897"
"AFUA_7G04110";"cluster_948"
"AFUA_7G04090";"cluster_948"
"AFUA_2G13570";"cluster_947"
"AFUA_2G09170";"cluster_437"
"AFUA_2G09160";"cluster_437"
"AFUA_8G04520";"cluster_872"
"AFUA_3G10220";"cluster_908"
"AFUA_2G11490";"cluster_954"
"AFUA_1G16380";"cluster_954"
"AFUA_3G11000";"cluster_953"
"AFUA_6G08790";"cluster_900"
"AFUA_5G12900";"cluster_938"
"AFUA_2G04650";"cluster_959"
"AFUA_1G05130";"cluster_961"
"AFUA_5G06550";"cluster_915"
"AFUA_4G04390";"cluster_956"
"AFUA_5G03250";"cluster_966"
"AFUA_1G03760";"cluster_958"
"AFUA_5G02010";"cluster_967"
"AFUA_6G04990";"cluster_971"
"AFUA_6G05020";"cluster_971"
"AFUA_3G14310";"cluster_972"
"AFUA_6G08570";"cluster_973"
"AFUA_2G10190";"cluster_963"
"AFUA_2G05080";"cluster_946"
"AFUA_5G02400";"cluster_906"
"AFUA_4G13460";"cluster_977"
"AFUA_1G00230";"cluster_950"
"AFUA_6G09390";"cluster_950"
"AFUA_4G06570";"cluster_970"
"AFUA_1G05655";"cluster_964"
"AFUA_6G03080";"cluster_728"
"AFUA_7G03680";"cluster_928"
"AFUA_1G06130";"cluster_983"
"AFUA_1G06110";"cluster_983"
"AFUA_7G04710";"cluster_984"
"AFUA_6G07310";"cluster_989"
"AFUA_1G13250";"cluster_991"
"AFUA_6G13650";"cluster_992"
"AFUA_6G13360";"cluster_979"
"AFUA_6G03110";"cluster_996"
"AFUA_6G10360";"cluster_999"
"AFUA_5G06840";"cluster_866"
"AFUA_4G11012";"cluster_998"
"AFUA_6G03690";"cluster_1003"
"AFUA_4G09440";"cluster_1003"
"AFUA_1G01720";"cluster_974"
"AFUA_6G11400";"cluster_1004"
"AFUA_6G03890";"cluster_1006"
"AFUA_7G06570";"cluster_1006"
"AFUA_5G08890";"cluster_1007"
"AFUA_6G04980";"cluster_1007"
"AFUA_7G01610";"cluster_935"
"AFUA_1G09630";"cluster_1010"
"AFUA_4G08480";"cluster_1014"
"AFUA_1G04170";"cluster_1015"
"AFUA_8G01160";"cluster_1015"
"AFUA_1G04150";"cluster_1015"
"AFUA_7G02540";"cluster_1019"
"AFUA_4G00260";"cluster_1023"
"AFUA_4G13000";"cluster_1024"
"AFUA_3G11020";"cluster_1025"
"AFUA_5G12580";"cluster_1028"
"AFUA_8G00680";"cluster_1027"
"AFUA_3G14050";"cluster_1017"
"AFUA_6G09220";"cluster_990"
